post,reaction_count,repost_text,repost,company,post_time,date_retrived
none,1,"The Tolson siblings are no strangers to thinking outside the box when it comes to providing innovative digital experiences.Kick-starting their journey in 2014, marketing their parent’s holiday rental via virtual tours, Laura Tolson and Alex Tolson have continued to embrace advanced technologies with the launch of their startup, Lateral Vision.Lateral Vision encompasses augmented reality, virtual reality, CloudTour, 360 video and drone management to create interactive and immersive experiences for clients.To learn more, read the full The Advertiser article below.Stone & Chalk #LotFourteen #LateralVision #Innovation #Technology #CloudTour #DroneManagement",1,Lateral Vision,6mo,2022-06-07
none,7,"""Having a reliable internet connection and fast speeds gives us confidence that our service will be available whenever our customers need it."" Robin Sands, CEO, Link4.Based at Stone & Chalk in Lot Fourteen, Link4 Cloud supports hundreds of local businesses, and thousands globally. Learn more about their SaaS solution (Software as a Service) business, designed to make the invoice process for businesses safer and more efficient and read about how GigCity has supported their growth and future plans. 👇 #gigcity #fastinternet #innovationdistrict",1,Link4,2w,2022-06-07
"If you missed our latest news, major Australian local government Devonport City Council is live with eInvoicing and has joined the Peppol network via Link4.#Link4 #eInvoicing #Peppol #LocalGoverment #Australia #ANZ",5,"In this week’s briefcase, a $20 million space manufacturing node will be established in Adelaide, Port Adelaide marketing agency Refuel Creative expands into the US and e-invoicing provider Link4 Cloud lands its first major council deal.#Adelaide #SouthAustralia #Business #Seafood #Infrastructure #Finance",1,Link4,3w,2022-06-07
"If more businesses use an eInvoicing service, the less payment times will be an issue. #einvoicing #einvoice #peppol #businesstransformation #invoiceprocessing #paymenttimes",4,"While it’s still early days, the register reveals that more than 30 per cent of invoices are being paid late by big business for what has already been earned by small business. That’s incredibly disappointing. #smallbizau",1,Link4,6mo,2022-06-07
Payment redirection scams are on the rise in Australia. It's more important than ever that businesses improve their procure-to-pay processes and adopt safer invoicing processes like #eInvoicing.Australian Taxation Office Australian Cyber Security Centre #einvoice #digitaltransformation #cybersecurity,4,"Business Email Compromise (BEC) threatens Australian businesses & government. According to the ACSC’s Annual Threat Report, BEC loss during 2020-21 averaged $50,600. Read a real case below.A small construction company received an email from their “supplier” asking for the payment of outstanding invoices. The company replied to the email, asking for invoice details. The supplier sent through multiple invoices and a reminder that their bank account details had changed. The supplier also requested early payment due to COVID-19. The company reviewed the invoices, confirmed the charges and made payments to the details provided. The next day, the company’s bank phoned to say that the transactions had been fraudulent. The company discovered that the supplier’s email address looked very similar to its previous one, but was incorrect. To educate your staff about Business Email Compromise and what signs to look out for, go to https://lnkd.in/dxGj7_TP",1,Link4,6mo,2022-06-07
none,4,"We are back with a brand new edition of Five Fintechs on Friday featuring Link4 Cloud, Personetics, Driva, carstory.com.au, and FrankieOne.Check out their offerings through the link below!https://lnkd.in/gZVErgG",1,Link4,1yr,2022-06-07
Thank you for the continued support from the Innovation & Collaboration Centre. We really do feel like a part of your family!,3,"A great story on an alumnus of the Innovation & Collaboration Centre, Link4 Cloud 🧾 Link4 has recently been selected by New Zealand's Ministry of Business Innovation, and Employment as one of the four access point providers to accelerate its e-invoicing adoption. Congrats Link4 👏🏽https://lnkd.in/gHp3mtD",1,Link4,10mo,2022-06-07
"Great the see the #Peppol eInvoicing network growing in #Australia! The more businesses that join the network, the more that SMEs (and the economy) will benefit 💰⏱🔐 EInvoicing is safer, faster, and more efficient than traditional PDF email invoicing. Go to https://link4.co/au/ to find out more. #einvoicing #einvoice #economy #digitaltransformation #smebusiness #ATO",3,"Good news everyone, I am excited to announce that we have surpassed 10,000 eInvoicing registrations! #einvoicing #peppol",1,Link4,6mo,2022-06-07
none,1,"Tomorrow is World Entrepreneurs’ Day! Hear from some of Lot Fourteen’s talented community, who tell us what it's really like to be an entrepreneur💡Featured: Anton Andreacchio of #Farsite, Rachel Kidwell of TCPinpoint, Anthony Wilson of Nood Australia, Robin Sands of Link4 Cloud and South Australian Chief Entrepreneur Andrew Nunn.Stone & Chalk #FIXE Steven Marshall #Adelaide #SouthAustralia #Entrepreneur #WorldEntrepreneursDay #GlobalPrecinct #AndrewNunn #Innovation #Tech #fintech #FirstNations #startup #worldentrepreneursday2021",1,Link4,10mo,2022-06-07
"Mission completed! This concludes our participation in Intuit QuickBooks Get Connected AU event in Brisbane. Going back to LUCA Plus HQ bringing loads of inspiration coming from fellow exhibitors, speakers, panelists, and participants. #Thankyou for joining us in this event, and for the opportunity to demo our newest feature #LUCAPay. See you all next year! #event #opportunity #inspiration #accountants #bookkeepers",0,"Full house for the final Get Connected event in Brisbane today! It was a great day to reconnect with everyone and learn about the growing suit of QuickBooks tools.A big thank you to our sponsors - PayPal, Dext, Ignition, and LUCA Plus. #GetConnectedAU #accounting #accountants #bookkeeping #bookkeepers",1,LUCA Plus,1w,2022-06-07
"We are now down to our last leg of Intuit QuickBooks #GetConnectedAU Event next week Wednesday, 25 May. Get the chance to see a hands-on demo about our newest feature #LUCAPay powered by LUCA Plus with Co-founders Ray Wang, and Leonard Huang.To catch up, register here: http://intuit.me/3M4FdXoIn the meantime, we're happy to share #highlights of the Get Connected Melbourne last Tuesday 17 May 📸 #LUCAPlus #endtoendsolutions #buynowpaylater #liveevents #fintech #accounting #bookkeeping",1,"Full house at Get Connected Melbourne today! It was great to see everyone reconnecting and getting hands-on product training. A big thank you to all of our sponsors - PayPal, Dext, Ignition, and LUCA Plus.You still have time to register for our upcoming events in-person in Adelaide or Brisbane. http://intuit.me/3M4FdXo#GetConnectedAU #fintech #accounting #bookkeeping #accountants #CPD",1,LUCA Plus,2w,2022-06-07
"📣LOOK: Sharing earlier's catch up of Ray Wang, & Damien Greathead  - the panellist for Accounting Business Expo's session on ""How to Digitally Future Proof Your Practice"". This should be an insightful and engaging event with Heather Smith moderating the panel discussion. Let's tackle #STP2 #eInvoicing #openbanking #cybersecurity and how this will help you become #futurefit. See you there on 28th April @ 12NN. Register with the link below.",6,"🔋WHAT SHOULD OUR POWER SONG BE?🧙Damien Greathead has promised to borrow Adarsh Dutt’s wizard cape (depending on the weather🌂) and showcase Emma Fabbro FCPA's mixmastering skills to get us hyped for our session at the Accounting Business Expo.📡Our topic is “How to Digitally Future Proof your Practice” What should our power song be?🐶Pitbull’s “Feel This Moment” ✋Justin Timberlake’s “Can’t Stop the Feeling”🎠Kylie Minogue’s “Spinning Around”or something else?📡AND If the thought of STP2, eInvoicing and Open Banking gives you a headache, join us as Ray Wang, Co-Founder and CEO at LUCA Plus & Damien Greathead of Intuit demystify what you need to know to Digitally Future Proofing your Practice. 👉Register to attend the Accounting and Business Expo at Sydney ICC 28 & 29th 2022 via the link below.#accountingandaccountants",1,LUCA Plus,1mo,2022-06-07
"What a great way to start the year! Daniela H. spoke to CMO Australia about how important it is as a start up and marketer to stretch the boundaries and think outside the box to stay relevant and go to market with a product built for all Australian business to help with cashflow, invoice fraud and much more. #lucaplus #startup #fintechnews #blockchaintechnology #employeerecognition #cxstrategy #shouta",0,"#digital gifting has proven a strong way for this Aussie startup, LUCA Plus to cut through to prospective customer as well as boost employee engagement. We find out more: https://lnkd.in/gT7xGVuF #startup #employeeengagement #surveyresearch",1,LUCA Plus,5mo,2022-06-07
"Our very own Marketing and Business Development Lead Daniela H. was involved in organising a resident-led event at Lot Fourteen to bring women and non-binary business owners together.It’s wonderful to see so many innovations coming out of Lot Fourteen in South Australia and how it provides a platform where community is just as important as providing a space that empowers women to become leaders in the startup space, well done to Daniela for taking the leap and bringing everyone together.#femalefounders #startup #startupfounders #stoneandchalk #lucaplus #community #coworkingcommunity",1,"Great to speak today about SheEO™    Congratulations  to Daniela H. and the support of Mary Kelly Dan Ryan Christopher Kirk Stone & Chalk on bringing the Ladies of Lot Fourteen community together for the first time. Our first bimonthly lunch focused on SheEO ventures for 2022. Over 40 women gathered from the tech, space, cyber,machine learning, defence and start ups sectors. #startups #machinelearning #defenceindustry #spaceindustry",1,LUCA Plus,7mo,2022-06-07
"Perhaps you're wondering what great minds and leadership are behind LUCA Plus?Meet our CEO and Co-Founder Ray Wang, Co-Founder and CEO at LUCA Plus. Thank you Shori Hijikata from Shirts of Startups for the feature and great initiative to support all founders and their cool tshirts and business journey's.#leadership #entrepreneurmindset #lucaplus #ourpeoplemakethedifference #teamlucaplus #ceo #innovation #founders",2,"“I moved to Australia from Beijing when I was 17. I came over by myself to complete high school in Tasmania. My parents thought Tasmania was nice and small, so I wouldn’t have the chance to hang around many other Chinese people, because they really wanted me to learn English.After high school, I moved to Melbourne for uni. Once I got here, I liked how friendly the people were. The city reminds me a lot of Beijing, with its mixture of culture, art, and music. I think Sydney, being more fast-paced, feels like Shanghai.I majored in accounting because my mum used to be an accountant and she had a big influence on me. From her, I learned that accounting is the language of business. After graduating, I joined Nike—it was a big company, so I got to learn and see a lot. And not to mention the great employee discount!I eventually had a lot of friends come to me to ask for tax advice. So I started self studying, learned how to use Xero, and took steps to work in the public service accounting area. Around then, by coincidence, I also met one of my co-founders, who had just started his own accounting firm business.Despite being in the accounting world today, I wanted to be a singer when I was really young. I haven’t let go of that completely. Today, I actually go to my friend’s restaurant on Friday nights to play the guitar or keyboard and sing, in both Mandarin and English. I play a bit of jazz as well. I love jazz. It’s something different after working the whole week, a good release.As I look to the future, one of the milestones I want to achieve is to have a LUCA Plus invoice be the first e-invoice sent to Mars. (Meaning we’ve settled there, which would be great for humanity.) I think it would be great to make that happen.”Ray Wang, Co-Founder and CEO at LUCA Plus, an e-invoicing, cloud-based software solution for SMEs, bookkeepers, accountants and auditors.#founders #entrepreneurship #founderstories #acccounting #fintech #startup",1,LUCA Plus,11mo,2022-06-07
"E-invoicing has become a hot topic amongst our Small Business and Accounting network.If you're still unsure on the cost savings and efficiency benefits e-invoicing brings to any business, I highly recommend registering to one of our channel partners Intuit QuickBooks webinar joined by Mark Stockwell Assistant Commissioner Australian Taxation Office hosted by AccountantsDaily#lucaplus #einvoicing #smebusiness #acccounting #smallbusiness #fintech #accountantsdailylive",0,Join us for the free-to-attend AccountantDaily Live webcast as we unpack the roll-out of e-invoicing for the accounting and small-business community with ATO Assistant Commissioner Mark Stockwell. Secure your spot today and earn CPD points! http://ow.ly/GyOk50Frjho#accountantsdailyliveIntuit QuickBooks,1,LUCA Plus,11mo,2022-06-07
"***Industry News Alert***Mark Stockwell from the Australian Taxation Office announces 10,000+ businesses registered for #einvoicing in 2021, this is definitely something to celebrate.Well done to the early adopters who have now enabled #einvocing in their businesses to start sending/receiving secure and faster #einvoices to promote a healthier cashflow position.Are you ready?#lucaplus #peppol #intuitquickbooks #myob #xero #getpaidinfivedays",1,"Good news everyone, I am excited to announce that we have surpassed 10,000 eInvoicing registrations! #einvoicing #peppol",1,LUCA Plus,6mo,2022-06-07
Love hearing about this kind of engaging project and a new lunchtime flu. using Makers Empire!,5,"I made a deal with our students at Plympton International College this week.We can find one small living thing on Thingiverse and I will print it for you. But if you want me to print for the second time you have to use Makers Empire and design it yourself. You can do it at home or at lunch time in the library. For the first time in ages, our 3D printers in our library were printing all week. I have printed bees, snakes, lizards, lady bugs, scorpions, spiders and even this fly. Our students have decided to start a club at lunch time where students who know how to use Makers Empire will teach students how to use it. I can’t wait to see it up and running!#studentagency #studentvoice #3dprinting #schoollibraries #libraries #techeducation #clubs",1,Makers Empire,1w,2022-06-07
Glad to have partnered with Queensland Manufacturing Institute (QMI) and the Queensland Department of Education for this pioneering project!,4,"Inspiring the younger generation is an important aspect of what we do. In partnership with the Makers Empire, Queensland Department for Manufacturing, Regional Development and Water (DMRDW), Queensland Department of Education, and Gateway to Industry Schools Program - Advanced Manufacturing, we developed the Additive Manufacturing 3D Printing in Primary School Program to inspire the younger generation to undertake advanced manufacturing programs. #education #development #additivemanufacturing #3dprinting https://lnkd.in/g5hwzz8z",1,Makers Empire,3w,2022-06-07
Love this great way to get kids and parents engaged! 😀,3,"Today my mission was to promote our 3D printing services in our R-12 school library. Today was the perfect day because the Mother’s Day stall in the library, so I knew there would be lots of traffic. I put a 3D printer at our exit door and students had to guess what I was printing. We had the most amazing conversations at the 3D printer, students of all ages (and teachers) were very curious to see what was being printed. Fingers crossed it worked!Makers Empire #3dprinting #schoollibraries #techeducation Plympton International College #techcommunity #libraries",1,Makers Empire,1mo,2022-06-07
We love this! Can’t wait to see what you get up to this year 😀,9,"Albert Einstein said that a person who never made a mistake never tried anything new.What did you try new in 2021 that initially failed?Last year I set up three #3dprinters  in our Plympton International College library. It took me a while to get it right, but in the end I got there and I was able incorporate 3D printing into learning and make items with students that were useful around our school. My favourite project is where our Year 1 #digitaltechology students made and decorated cows as part of an inquiry unit on cows for the #YearoftheOx. Then set up an exhibition in our library for #LunarNewYear with cow facts they had #researched using ClickView and books from our #schoollibrary. How amazing is that?I’m so glad I didn’t give up! I can’t wait to see what we can do in 2022 with Makers Empire. Prehaps we will have to make some something for the #YearoftheTiger. 🐯#growthmindset #nevergiveup #asiacapaple #schoollibrariesDepartment for Education, South Australia",1,Makers Empire,5mo,2022-06-07
Thanks for your ongoing support! ❤️,3,"In 2022, we welcome augmented reality pink bunnies to Lot Fourteen! 🐰Startup Hub resident, Makers Empire, created this cute mock-up to show students how their creative designs would look in a real-world setting.Makers Empire’s new augmented reality (AR) capabilities enable students to visualise and test their 3D designs in authentic, place-based contexts. The new functionality can be downloaded within the latest version from the Makers Empire website or your usual app store.Read more here: https://bit.ly/3qdng0P#LotFourteen #MakersEmpire #AugmentedReality #Innovation #Technology",1,Makers Empire,5mo,2022-06-07
Congraulations! We’re proud to be partnering  with you to help to increase education of bushfire awareness and wellness,3,"2021 REGIONAL RESILIENCE AWARD WINNERSOur Bushfire kids told us they wanted to share their stories, to be mentors and help support kids and families of future fires. Their voice (which led us to develop 'Bushfire Brave' - an amazing Australia first online STEM school program) has been heard and we are so very proud to say recognised at the 2021 Regional Showcase Awards. It was amazing to be recognised whilst in the company of so many inspiring regional initiatives!Huge thank you to everyone who is listening to the voices of our kids and sharing their stories - they have so much to teach us!Makers EmpireDavid Basham MPInDailyAdelaide Hills CouncilCarly Ascott#regionalshowcase",1,Makers Empire,6mo,2022-06-07
Glad to to be part of this conference and to support the NAZTech community!,1,"On Monday, Nazareth Catholic Community hosted our 5th annual NazTech Future Learners Conference.This year I had the privilege of coordinating the event which provided me with opportunities to network with some fantastic people.Our conference brought together well over a hundred passionate educators, to learn new skills in the field of technologies and explore emerging contemporary pedagogies. Our fantastic key note speaker Anna Hodge from Rising Sun Pictures explored the growing need for students to be immersed in the technologies curriculum and shared the many pathways students can take, to become apart of the VFX industry. We were also privileged to hear Emma Fowler share how her vision of NazTech came to life over 5 years ago.I thank everyone who was involved in making this day such a huge success, including our brilliant presenters and generous sponsors, Google, Rising Sun Pictures, Grok Academy, Lumination,   Makers Empire, Ignite VR, Trotec Laser Australia / New Zealand  and Cybersafe Families  We look forward to seeing what our next conference will bring 💫",1,Makers Empire,8mo,2022-06-07
"Thanks for the shoutout, Craig!",4,"This week's episode of the Ignite EdTech podcast is now live, feat. Michael Drezek #globalmakerday, Makers Empire, Elementari and so much more.Jump on, listen & follow on your podcast channel of choice (or here linktr.ee/mrkempnz) #edtech #edchat",1,Makers Empire,8mo,2022-06-07
Glad to be part of it!,3,"Expo 2020 Dubai Summer Explorers program is back! Call out for #children (aged 7 – 11) to join an exciting #workshop conducted by Makers Empire on 10 and 12 August 2021. Based on a #STEM approach to student learning and engagement, Makers Empire helps develop children’s #creative confidence, #designthinking skills to create a more #innovative, #adaptable and #resilient future workforce.Register now: https://lnkd.in/dkKTfp4 Ian Halliday I Kelly Matthews I Mounir Sankary I Clare Cooney كلير كوني I Priety B. S. Padam I John C. I Emmet N O'Sullivan I Faisal Abdulhadi I Sarah Stanton-French I Sidharth (Sid) Mehta I Anthony Chhoy I Mandi Dimitriadis I Lap Leung, GAICD I Dean Pyrah I Steve McLuckie I Expo 2020 Australia",1,Makers Empire,10mo,2022-06-07
Our amazing Director of User Experience and Customer Success wrote a great article about what first and second graders taught him about UX. Well worth a read!! #ux #userexperience #designthinking,8,"I spent a semester working with a grade 1-2 class last year. It was one of the most valuable UX research experiences I’ve had, so I wrote about it.Have a read, and please leave a comment or a clap if you find it interesting :)#UX #learning #edtech #educationdesign",1,Makers Empire,11mo,2022-06-07
"Thanks for including Makers Empire’s co-CEO, Jon Soong",9,A new group of young entrepreneurs is putting SA’s burgeoning start-up sector on the map. We speak to six of them about their latest ventures.📍 DETAILS: bit.ly/3ef7j3,1,Makers Empire,11mo,2022-06-07
We're thrilled to be partnering with The Andy Thomas Space Foundation on this new Australia-first space-themed pilot program for primary schools #stem #innovation #spacehttps://lnkd.in/gWNJUJt,8,"Great News!!!!!The Andy Thomas Space Foundation and Makers Empire today announce an Australia-first pilot program for primary schools, to deliver education in awareness of space career opportunities.The primary schools program, budgeted at $45,000, follows the announcement by the Foundation in March of scholarships at secondary, tertiary and post-graduate levels. In less of one year the Foundation has been able to arrange funding for over $200,000 in scholarships and awards in Australian STEM and space education and research initiatives.For more information",1,Makers Empire,1yr,2022-06-07
Our team in NSW has recently completed a Customer Experience Drive Day. It was great to be able to interact with our customers and show them what our vehicles are capable of.#MitsubishiMotorsAustralia #CustomerExperience,60,"Mitsubishi Australia has completed our first Customer Experience Drive Day. This fantastic 3 day event allowed over 200 customers to experience our amazing product range of vehicles over challenging terrains and different road circuits. These circuits highlighted the state of the art safety, technical features and driving capability of our range of vehicles.",1,Mitsubishi,2w,2022-06-07
"Sustainability and positive social impact are key drivers of Mitsubishi Motors Corporation (and Mitsubishi Motors Australia, of course).Our global colleagues Mitsubishi Motors Thailand have worked hard to deliver this project, creating positive change for its environment... and the people that live within it.Well done!#sustainability #people #environment #mitsubishimotors",25,"Mitsubishi Motors Thailand (MMTh) and the Mitsubishi Motors Thailand Foundation (MMTF) planted 12,000 trees in 60 Rais of forest (approximately 9.6 hectares) as part of MMTh’s “60 Years 60 Rai” Reforestation Project.In recognition of this project’s achievements, MMTh was awarded the Reforestation & Forest Resources Development Award from the Royal Forest Department.MMTh and MMTF hope to enhance environmental awareness in the area and help reduce the effects of global warming.* NPO established by MMTh in January 2021 to celebrate the 60th anniversary of operations in ThailandLearn more: https://lnkd.in/gQiBF2uQDsicover more about MITSUBISHI MOTORS: https://lnkd.in/g8P8pqig#STEPtothefuture#MitsubishiTriton#DriveyourAmbition #MitsubishiMotors",1,Mitsubishi,1mo,2022-06-07
Such great news! Mitsubishi Motors Corporation involvement in Motorsports again is very exciting indeed.,74,"We’re excited to announce that we are providing technical support to Team MITSUBISHI RALLIART, which will drive the TRITON in the Asia Cross Country Rally 2022.Hiroshi Masuoka, team director and two-time Dakar Rally champion driver in 2002 and 2003, will lead the team competing in the rally from August 6 to 12.Stay tuned for more updates!Learn more: https://lnkd.in/ggQwPqGQDiscover more about MITSUBISHI MOTORS: https://lnkd.in/gzyNZtjS#Ralliart #MitsubishiRalliart #AXCR #AsiaCrossCountryRally#DriveyourAmbition #MitsubishiMotors",1,Mitsubishi,2mo,2022-06-07
Three generations of Outlander all lined up. Now that's a good family photo!,30,We love it when customers send us photos of their Mitsi's📷Kelly sent us some photos of her new Outlander lined up next to her family's two other Outlanders and it's amazing to see how far it has come😊#australianmotorsmitsubishi #drivenbyaustralianmotors #outlander,1,Mitsubishi,3mo,2022-06-07
"Japanese hospitality 'omotenashi' is a key element in our interior design philosophy. The Mitsubishi Touch, 'Solid Touch', allows our drivers to drive safely, securely and comfortably.#MitsubishiMotors #DriveYourAmbition #InteriorDesign",16,"Interior Design: MITSUBISHI TOUCH - SOLID TOUCHThis three-part series introduces our unique attention to interior design that allows you to drive safely, securely, and comfortably on the road under all kinds of conditions.“SOLID TOUCH” refers to our focus on control for precise maneuverability, with unique sizes, shapes, and grips that inspire confidence no matter how rough the road. We made sure that you will notice their dependable and solid operation.Learn more: https://lnkd.in/gU-4q7GADiscover more about MITSUBISHI MOTORS: https://lnkd.in/guzMppGJ#DriveyourAmbition #MitsubishiMotors",1,Mitsubishi,3mo,2022-06-07
"Dandenong Mitsubishi has welcomed Chloe McLennan as an apprentice technician, working alongside her mentor Service Manager Debbie Denes, as part of the new Accelerating Women in Automotive Apprenticeship grant program funded by the Victorian Automotive Chamber of Commerce | VACC and Women in Automotive (WinA). It is great to see more women working in our workshops and service departments. #MitsubishiMotorsAustralia #driveyourambition #womeninautomotive",47,"Good new story from Wheels Australia! Kathryn Fisk reported on Chloe who is a female apprentice technician working at Dandenong Mitsubishi. She is taking part in the Women in Automotive grants program and has been impressing everyone she’s worked with. “After doing my Certificate II in Automotive, I talked to my adviser about it and they put me in touch with the people at Mitsubishi who were really excited to have a woman come on board, which was great.“So far I have been working on the roadworthy process and getting to know the different kinds of cars, but I will be doing servicing full-time soon. I come in every day and learn something new, everyone is really friendly and it is a great challenge.”Read more: https://bit.ly/3Fc3x63 #womeninautomotive",1,Mitsubishi,5mo,2022-06-07
"As the first automotive brand to run this style of competition on TikTok, we have been excited to see the great adventurous spirit captured in the entries to the new Outlander's 'LiveOutlandish' campaign. The competition ends on Sunday, 5 December. We can't wait to see who will feature in the 'Live Outlandish' program airing on FOXTEL, early 2022. #LiveOutlandish #Outlander #MitsubishiMotorsAustralia",22,"Mitsubishi Motors Australia has launched a social competition on TikTok, the winner of which will star in a Foxtel special to promote the new Mitsubishi Outlander SUV.https://lnkd.in/dbhf2KBg",1,Mitsubishi,6mo,2022-06-07
