company,post_time,date_retrived,post,reaction_count,repost
AICraft,1mo,2022-06-06,The CEO of AICRAFT Dr Tony Scoleri will attend the New Horizons Summit in Sydney on Friday 6 May 2022. This event aims to create new networks and expand supply chains to support a sustainable presence on the #Moon and #Mars. AICRAFT is working on high-speed low-power technologies that are fundamental for present and future #space #explorations. #collaboration #spacesupplychain #moonexploration #artemis #mars #emergingmarket Dave Bell #AI #artificialintelligence #disruptivetechnologies Defence SA #edgecomputing Flinders New Venture Institutehttps://lnkd.in/dGQDe_ew,13,0
AICraft,1mo,2022-06-06,"AICRAFT is delighted to announce that it will collaborate with the University of Adelaide and the University of New South Wales UNSW as part of the Defence Trailblazer Program: Concept to Sovereign Capability. This will enable us to accelerate the development, testing and commercialisation of cutting-edge #artificialintelligence and edge computing technologies for #space, #robotics and #autonomoussystems. Our focus will be on #manufacturing #novel integrated circuits, scalable, high-speed, low-power #electronic solutions that are software-defined to bring unsurpassed performance in advantageous form factor and power consumption. An important part of the program is to develop a trained and skilled workforce in #Defence, #space, #artificialintelligence, #quantumtechnology, #cyber and #hypersonics. AICRAFT is currently involved in the supervision and mentoring of six university #students, with a graduate last year successfully gaining #employment with the company following an #internship supported by Defence SA and Australian Industry Group (Ai Group). The company is keen on continuing its work and expanding its #engagement and #contribution within the Defence Trailblazer Program.We wish to congratulate the two universities on a successful bid and look forward to the forthcoming interactions.https://lnkd.in/gdekvArdPeter Malinauskas Susan Close #ai #edgecomputing #disruptivetechnologies Russell Boyce Tat-Jun Chin Flinders New Venture Institute",9,0
AICraft,2mo,2022-06-06,"AICRAFT’s intern Jamie Keegan-Treloar, the SA Premier’s Defence Industry Scholarship recipient (facilitated by the Australian Industry Group (Ai Group)), is enrolled in Honour degree in Mathematical Sciences at Flinders University. His #internship project is entitled ‘Policy-driven network routing optimisation for a nanosatellite constellation’.Going to #space or sending #satellites on #orbit involves a lot of maths. So, for Jamie it’s been a new experience to apply his knowledge and skills in the enthralling space industry. This is how Jamie describes his most recent simulation:“Satellite networks have a constantly changing topology with nodes coming into connection range only for a short period of time. This #simulation, while only in the early stages, can model a satellites orbit in planes (LEO, MEO and GEO or anywhere in between). Exact orbits can be simulated by providing an initial position and velocity. Each satellite node has a function to ping its neighbours, and over the course of its orbit it builds a map of when and where it is connected to another node”.The placement at AICRAFT gives him an opportunity to model #realistic data and systems, from various antenna types, receiver characteristics, inter-satellite communication, satellite to ground scenarios and vice versa, to variable bandwidths, onboard resources and atmospheric conditions. No aspect is left uncovered.At this stage, several concepts of operations have been put forward and Jamie’s current work is to produce the required data sets. Ultimately, Jamie’s project aims to develop #novel cost functions underlying deep reinforcement learning models and their associated performance metrics that #optimise network routing protocols. These cost functions will implement automatically the policies that will carry out the operator’s objectives most effectively. #internship #spaceindustry #satellite",16,0
AICraft,3mo,2022-06-06,"Yesterday afternoon, the Federal Member for Chifley, Shadow Minister for Industry and Innovation Hon Ed Husic MP and Labor candidate for Boothby Ms Louise Miller-Frost  B App Sc, MA, MPH, MBA, FAICD visited the Flinders New Venture Institute and AICRAFT as part of their tour of the Tonsley Innovation District.AICRAFT’s CEO Dr Tony Scoleri told the visitors about the #edgecomputing module that the company will be #launching in #space in the third quarter of 2022. The module is not only capable of inferencing #artificialintelligence (#AI) models but also running standard processing algorithms. This means that data from payloads can be directly pushed to the module for information extraction. This will reduce latency in obtaining data products as well as reducing storage requirements since irrelevant data can be discarded right away. The company will look to build #payloads for customers with its embedded AI technology for truly edge computing solutions.#innovation #technology",25,0
AICraft,3mo,2022-06-06,"We are hiring! Join our team and contribute to our unique edge computing products for space, defence and other applications. https://lnkd.in/gEWVbDJ3 # #hiring #team #ai #edgecomputing #hardwaredesign #jobalert #jobavailable #job #adelaidejobs",6,0
AICraft,3mo,2022-06-06,"We are finishing the week on a high! Announcing #collaboration with Antaris Inc and sending our Edge computing module for a tech demonstrator to space! 🛰️Our #team was super pumped to showcase our services and products at the 13th Australian Space Forum #AUSpaceForum on Thursday. Until next time!#space #startup #edgecomputing #edgecompute #satellites In the photo - Electronics/Electrical Intern Daniel Wang, Graduate Software Developer Matthew Camp, CEO Dr Tony Scoleri, Mathematical Sciences Intern Jamie Keegan-Treloar and Electronics Engineer Mohammad Parvez.",27,0
AICraft,3mo,2022-06-06,"AICRAFT at the 13th Australian Space Forum today. Come say hello 👋The #AuSpaceForum is a great opportunity to meet and connect with #space companies - large and small, as well as incredible #spacestartups that are also part of the SmartSat CRC #AuroraSpaceCluster.We also have some exciting news to share! Stay tuned!#SpaceIndustry The Andy Thomas Space FoundationIn the photo, a few of our space forum crew - CEO Dr Tony Scoleri, Electronics Engineer Mohammad Parvez and Graduate Software Developer Matthew Camp.",26,0
AICraft,3mo,2022-06-06,"Are you a #student attending The Andy Thomas Space Foundation's 13th Australian Space Forum?Do you study #Electronic, #Electrical , #Mechatronic or #Software #Engineering? Are you interested in #defence, #aerospace, and #artificialintelligence industry? Visit us at stand 67 to talk about opportunities for #internship / #workexperience / #employment. We are looking for people who can learn fast and apply skills to create #innovative solutions. If it is YOU, leave your CV and let's have a chat!#AUSpaceForum #Space #SpaceEducation #SpaceIndustry #Connections #Networking #Conference #Virtual #Australia #Industry #edgecomputing #ai #artificialintelligence #tradeexpo #internship #opportunities",3,0
AICraft,3mo,2022-06-06,"Have you already registered to attend the Australian Space Forum?With 17 panellists, 8 keynote speakers hailing from across the globe, hundreds of in-person and virtual attendees, and a record breaking 70+ exhibitors showcasing their products and services, this will be the largest Australian Space Forum yet! 🚀 AICRAFT will present its unique edge computing products. Visit us at stand no. 67, next to Boeing and Spiral Blue, opposite the Australian Space Discovery Centre. 🎟️ Register here: https://bit.ly/3sNTfoz📖 View the program here: https://bit.ly/3v7nwBp#AUSpaceForum #Space #SpaceEducation #SpaceIndustry #Connections #Networking #Conference #Virtual #Australia #Industry #B2B The Andy Thomas Space Foundation #edgecomputing #ai #artificialintelligence #tradeexpo",6,0
AICraft,3mo,2022-06-06,We are super excited to be an #exhibitor in the upcoming 13th Australian Space Forum #AusSpaceForum this year. The Forum will be held on Thursday 3 March 2022 at the Adelaide Convention Centre.Visit us at stand no. 67 to find out more about our #edgecomputing products for #space and what they can do for your company.10 sleeps to go! We look forward to seeing you!https://lnkd.in/gEmBjH7#AuroraSpaceCluster #SpaceStartups #AusSpaceForum AICRAFT #space #satellites The Andy Thomas Space Foundation SmartSat CRC #earthobservation #ai #artificialintelligence,4,0
AICraft,3mo,2022-06-06,"We are pleased to announce that our new #interns Jamie Keegan-Treloar and Daniel Wang have been successfully admitted into the South Australian Premier’s Defence Industry Scholarship Program. The Program is facilitated by the Australian Industry Group (Ai Group), a peak national employer organisation representing traditional, #innovative and #emergingindustry sectors. The #scholarship program is supporting South Australian university students to undertake industry placements as part of their degree with companies in South Australia’s rapidly growing #defence industry.“As a company working in #defence and #aerospace industry, we are interested in supporting our local university #students in developing their knowledge and providing real-world experience. We are extremely proud of this #achievement by our interns Jamie and Daniel in securing this prestigious scholarship. Congratulations!” said Dr Tony Scoleri, CEO of AICRAFT. Jamie is enrolled in Honours in Mathematical Sciences at Flinders University and his project at AICRAFT will involve ‘Policy-driven network routing optimisation for a #nanosatellite constellation’. Daniel is an Honours degree student in Electrical and Electronic Engineering at the University of Adelaide and will focus on ‘An investigation of novel software-driven #microelectronics for advanced #satellite #powermanagement’. Both topics support the company’s objectives to implement #edgecomputing and federated learning on #orbit with new architectures and edge #sensors to better enable software-defined satellites.Daniel and Jamie are joining AICRAFT just at the right time and will attend the upcoming 13th Australian Space Forum, which will be held on Thursday 3 March 2022 at the Adelaide Convention Centre. www.aicraft.com.au https://lnkd.in/g7cw8ERd #learning #ai #engineering #university #AUSpaceForum #AdelaideEvents #SpaceIndustry",15,0
AICraft,4mo,2022-06-06,"One year ago AICRAFT was born as a company with a #vision to design tailored #artificialintelligence models combined with purpose-built #electronics for system performance and efficiencies. Our #anniversary is a #celebration of many trust-based relationships with our dedicated and hardworking #team, customers, #partners, and #communities we are a part of. On behalf of AICRAFT team, thank you for your support throughout our first year! #thankyou #companyanniversary",38,0
AICraft,4mo,2022-06-06,"Our CEO Tony Scoleri was a participant and a speaker in the first Italo-Australian workshop on #earthobservation last night. There was a great display of major programs with new #satellite constellations to be launched and unique applications like detecting water leaks from #space!Thank you to the organisers, The Andy Thomas Space Foundation (Nicola Sasanelli AM) and the Fondazione E. Amaldi (Lorenzo Scatena), SmartSat CRC (Andy Koronios) and #AuroraSpaceCluster (Tim Parsons), for the opportunity to introduce the work at #AICRAFT and make connections with both Australian and Italian organisations. Much to follow up!#spaceeducation #spaceindustry #startups #entrepreneurship #innovation #technology #earthobservation #italy #australia #space #connections #edgecomputing #ai #acceleratedai",12,0
AICraft,4mo,2022-06-06,"On Monday 31 January 2022, AICRAFT’s CEO Dr Tony Scoleri will join nine other Australian and Italian companies for a panel at the Italo-Australian Workshop on Earth Observation (EO) for Space Startups 🛰️The workshop is organised by The Andy Thomas Space Foundation and Fondazione E. Amaldi and supported by SmartSat CRC & Aurora Space Cluster. This amazing event will provide an update on space applications start-up projects in Italy and Australia and will explore new opportunities for international collaboration in activities such as environmental monitoring, sustainable resource management and conservation.Register today: https://bit.ly/3fiZZElTo see the online workshop program, visit: https://bit.ly/3ttQR8t This workshop is associated with the 13th Australian Space Forum on 3 March 2022.  #spaceeducation #spaceindustry #startups #entrepreneurship #innovation #technology #earthobservation #italy #australia #space #connections #AICRAFT #opportunities #sustainable",8,0
AICraft,5mo,2022-06-06,"The company has been operating for 10 months and the end of the year is always a good time to reflect on what has been achieved so far. We have built solid foundations for our future products, connecting with practitioners and engaging with academia, industry and government.Looking forward to 2022!#2021year #ai #sensorsolutions #space #defence #southaustralia #future #artificialintelligence",10,0
AICraft,6mo,2022-06-06,"Coming to the market in 2022 is our new range of inference cameras. The cameras will have capabilities of long-range object #detection, #tracking and object classification, all in a package as big as a coffee mug! A variant of the base model will enable #navigation to waypoints without GPS. Below are the results of our artificial neural network predicting GPS coordinates from real-world (waypoint) data of a predefined course. Data communication is encrypted which makes this the perfect solution for a swarm of small-size #drones or added value if you wish to have GPS-denied navigation in your system. Our team will be happy to answer any questions you might have. Drop us a line at hello@aicraft.com.au.#communication #ai #artificialintelligence #neuralnetworks #uavs #navigation #drones #inferencecamera #droneswarm",13,0
AICraft,6mo,2022-06-06,"Thinking of AI people often assume large systems because of the computing resources required. At AICRAFT, we are packing it in small devices such as beacons and IoT devices with an ability to run 24/7 on batteries. This has led us to innovative design in power #electronics for high-efficiency power management that is software defined through real-time AI analysis. Our digital twin simulation has revealed 20% to 30% power saving for small loads and up to 70% saving for larger loads depending on the size of the motor. We are currently conducting hardware-in-the-loop testing for small items…more to come.#ai #iotdevices #iot #artificialintelligence #powermanagement #realtimeai",11,0
AICraft,9mo,2022-06-06,"We are glad to be attending the International Space Conference and Exhibition ‘Building NewSpace in India’. In current pandemic conditions, digitally-organised events became a norm but this conference is demonstrating amazing organisation with a virtual platform for showcasing products and services and making connections with Indian #space industry, academia and Government agencies. Thank you to SmartSat CRC and Aurora Space Cluster for organising our participation. #AuroraSpaceCluster #india #space #connections #events #ISRO #internationalspaceconference #newspace",6,0
AICraft,9mo,2022-06-06,"We are pleased to announce that our #Engineering #Interns Matthew Camp and Kade Lange, from Flinders University, have been successfully admitted into the South Australian Premier’s Defence Industry Scholarship Program. The Scholarships Program is delivered by Defence SA and the Australian Industry Group (Ai Group), on behalf of the South Australian Government and Premier Steven Marshall. The program is supporting South Australian #university students to undertake industry placements as part of their degree with companies in South Australia’s rapidly growing #defence industry.Paolo Damante, Program Manager, South Australian Premier’s Defence Industry Scholarship Program, commented, “By supporting the placement of these high-calibre students, AICRAFT can build its future workforce, enhance its #innovation and #research capacity, and grow the quality of expertise of graduates emerging from our universities. These students are at the stage when right mentoring and exposure to real-life #industry experience can change their career trajectory towards future success.”Dr Tony Scoleri, CEO of AICRAFT, said, “This is a great #opportunity for us to be the first workplace for these young people and help them develop the essential skillsets that are necessary in #Defence and the #Space 2.0 industry rapidly growing in South Australia.  We have a strong commitment to contributing to the growth of our local university students for a brighter future. I am incredibly proud of our Interns Matthew and Kade who are demonstrating their passion for emerging technologies such as #artificialintelligence and their eagerness to learn the many aspects of ‘#computing at the edge’. I am confident that the Program is setting them up for a long and rewarding career in defence from right their ‘doorstep’ in South Australia.”www.aicraft.com.au For more information on the scholarships program, please visit https://lnkd.in/g7cw8ERd or email defence.scholarships@aigroup.com.au.#universities #students #scholarships #success #growth #future #ai #defence #space #industry #southaustralia #computingattheedge #aicraft #SouthAustralianPremier’sDefenceIndustryScholarshipProgram Defence SA Flinders University Australian Industry Group (Ai Group) AICRAFT Steven Marshall [Caption: AICRAFT CEO Dr Tony Scoleri, Kade Lange and Matthew Camp]",17,0
AICraft,10mo,2022-06-06,"It is with great pleasure that we welcome Nicolas FOATA to AICRAFT as Senior Program Manager.Nicolas has expertise in the areas of #telecommunications, #cloudcomputing, #IoT, #bigdataanalysis, #cybersecurity, #supplychain traceability, smart and connected cities, having deployed worldwide network solutions. “Nicolas brings a significant technical and project management skillset to develop and implement the technological plans at AICRAFT”, CEO Dr Tony Scoleri commented. Nicolas FOATA said, “I am passionate about latest technologies and finding innovative ways to solve real-world problems. I am excited to join the team at AICRAFT and keen to expand its effort in #artificialntelligence for clients in Defence, space and other sectors.”#innovation #team #cybersecurity #iot #projectmanagement #dataanalysis #ai #smartcities #solvingrealworldproblems #AICRAFT",18,0
AICraft,10mo,2022-06-06,"We are pleased to welcome Stephen Meltz to AICRAFT as Chief Business Officer. Stephen brings with him over 25 years of commercial experience, having held several senior executive positions in the Asia-Pacific region in both public and private companies. He has been influential in driving innovation and growth, developing technology businesses in homeland security, identity management, biometrics, and the aviation sectors, and pioneering several markets.AICRAFT’s CEO Dr Tony Scoleri commented, “We are thrilled to have Stephen on board and look forward to implementing business strategies around our current and upcoming product developments.”Stephen Meltz said, “I am delighted to be part of the team at AICRAFT – a company that delivers innovative solutions with artificial intelligence for the benefit of defence, public and private sectors.”#innovation #technology #artificialintelligence #team #business #management #growth #leadership #strategy",11,0
AICraft,11mo,2022-06-06,"We’re hiring an Electrical/Electronics/Mechatronics Engineer for our development team. If you would like to assist and/or lead the fabrication of smart IoT devices, have good soldering and PCB design skills, are an innovative thinker and have an interest in artificial intelligence, we’d like to talk to you.To learn more and apply: https://lnkd.in/giXsN4n #engineer #engineering #hiring #artificialintelligence #electronics #jobs #iotdevices #electricalengineering #mechatronicsengineering",3,0
AICraft,1yr,2022-06-06,"With a long history of working with academia, AICRAFT’s CEO Dr Tony Scoleri is always a great supporter of academic research and programs, especially in #engineering and #computerscience. It was a great honour for him to join the Advisory Committee of the Mechatronics Program at Macquarie University led by Professor Subhas MukhopadhyayThe mechatronics degree at Macquarie is a unique program that combines #mechanicalengineering, #electronicengineering and #computerscience, giving students the skills to design and build robots and their computer systems. This multi-disciplinary degree is perfectly aligned with the developments and #future recruitment needs at AICRAFT. We are taking the steps now to ensure that the graduates to come in the workforce are well prepared.#research #university #innovation #education #robots #science #stem #students #mechatronics #partnerships",4,0
Andy Thomas Space Foundation,3,2022-06-06,"The Andy Thomas Space Foundation’s Education Fund offerings would simply not be possible without the generous contributions of our Foundation Sponsors. To celebrate and share the ‘out of this world’ work that our sponsors are doing, we are introducing Foundation Sponsor Fridays! ✨ For this Foundation Sponsor Friday, we are highlighting our generous Constellation Sponsor – Microsoft! Microsoft joined the Foundation as a sponsor in early 2021, assisting the Foundation in increasing the 2022 Education Fund to a value of over $300,000 across 9 programs. Their work in streamlining space industry engagement and ecosystem development across the globe is astonishing and we look forward to being a part of their journey here in Australia. 🛰️ Let’s take a closer look at Microsoft! 👀 Microsoft enables digital transformation for the era of intelligent cloud and intelligent edge. Its mission is to empower every person and every organization on the planet to achieve more. Through the combination of cloud and space technology, Microsoft and our partners are equipping businesses and organizations around the world to re-imagine solutions to some of the world’s most challenging problems.  Azure space brings together renowned space industry veterans, scientists and world-class product engineers to build cloud capabilities that meet the unique needs of the space community. Our innovation areas include simulating space missions, discovering insights from satellite data, and fuelling innovation both on the ground and in orbit. By partnering with leaders in the space community, we are extending the utility of our Azure capabilities with worldwide satellite connectivity, unblocking cloud computing in more scenarios, and empowering our partners and customers to achieve more.  ℹ️ To learn more about Microsoft’s role in the Australian and global space ecosystem, click here > https://bit.ly/3zdjklw We would like to extend our sincere gratitude to the entire Microsoft team! 👏#azurespace",9,0
Andy Thomas Space Foundation,4,2022-06-06,"Catholic Schools across Australia enter the space race with the Andy Thomas Space Foundation at STEM MAD National 🚀The Andy Thomas Space Foundation is proud to this year provide the Andy Thomas Space Foundation’s #STEM in Space Award, encouraging schools to design a product, service or innovation, inspired by space science and/or space technologies.This national competition celebrates winners from each state across Australia who have held their own #STEMMAD competitions. The STEM MAD National Showcase will be held at the Melbourne Convention and Exhibition Centre on Tuesday 6th September as part of the National Catholic Education Conference. The Foundation is looking forward to seeing the out of the box ideas designed by students! ☄️ For more details on the competition visit: https://lnkd.in/ddwjXE2x#Space #SpaceEducation #SpaceIndustry #Connections #Networking #Conference #Virtual #Australia #Industry #B2B #Education",12,0
Andy Thomas Space Foundation,1w,2022-06-06,"🚀 Last chance to apply for the 2022 Education Funds Jupiter and Pluto Programs!These brilliant industry lead initiatives, available to Australian PhD candidates and early career researchers, will be closing for applications on May 27! This opportunity will not be available again this year, don't miss your chance to get involved. Providing unique educational opportunities to further advance knowledge of and engagement with both national and international space industry, these programs are not to be missed! 🛰️For more information on the programs, click below ⬇️Jupiter Program: https://bit.ly/3kPxPDVPluto Program: https://bit.ly/3slb4f9  ✍️ To apply for either program, click the link here: https://bit.ly/3ykZl47#Space #SpaceEducation #SpaceIndustry #Connections #Networking #Conference #Virtual #Australia #Industry #B2B #Education",13,0
Andy Thomas Space Foundation,2w,2022-06-06,"Ahead of the 13th Australian Space Forum in March of 2022, The Andy Thomas Space Foundation hosted the Inaugural Australian Space Education Mixer at the Australian Space Discovery Centre 📚 This event saw a number of #industry and #academic leaders from across the nation come together to further explore and share innovative techniques and strategies to increase STEM, specifically space education, participation across educational facilities ☄️ On the 24th of October 2022, the second Australian Space Education Mixer will be held! We are in the process of putting together the guest list and program for this invite-only event. To register an expression of interest for your attendance, send through your innovative STEM teaching ideas via email to educationfund@andythomas.foundation.#education #event #leaders #teaching #professionaldevelopment #network #connections #techniques #innovation #multidisciplinary",24,0
Andy Thomas Space Foundation,1mo,2022-06-06,"The Andy Thomas Space Foundation will be the community supporter for the ASITII’s International Space Bridge Series event focused on the UK-Australia Spacebridge, to be hosted at Space Hub in Sydney on May 11, 2022 ☄️ Don’t miss your opportunity to hear from expert keynote speakers, including: Karl Rodrigues (Australian Space Agency) and Rebecca N.  (UK Space Agency) as well as an esteemed panel of space industry and academia leaders! 🎟️ For more information or to register your tickets, click here: https://bit.ly/3y4ZYi5 Space and Defense #space #spaceindustry #spaceeducation #industry #professionaldevelopment #connections #networking",18,0
Andy Thomas Space Foundation,2w,2022-06-06,"A great opportunity for Australian PhD candidates and early career researchers to share their ideas or projects with international companies to further develop space focused technologies.🚨 10 days left to apply for the Andy Thomas Space Foundation's Jupiter and Pluto Programs! 🚨For more information on the programs, click below ⬇️ Jupiter Program: https://bit.ly/3kPxPDV Pluto Program: https://bit.ly/3slb4f9  ✍️ To apply for either program, click the link here: https://bit.ly/3ykZl47#Space #SpaceEducation #SpaceIndustry #Connections #Networking #Conference #Virtual #Australia #Industry #B2B #Education",15,0
