post,reaction_count,repost_text,repost,company,post_time,date_retrived
"Rising insurance claims in the wind turbine sector need not be something we have to be resigned to accept. We work with partners such as Wind Power LAB by identifying damage and addressing it as soon as it occurs, to ultimately reduce costs and the need to claim on insurance.",5,"Although this article is a few years old, the same case holds true.Insurance claims are on the rise 📈 in the Wind Turbine market.Wind Power LAB can help the industry with all sorts of blade issues: - Root Cause Analysis for Damages - Baseline Commissioning Inspections/Analysis - Image to Advice, Ad Hoc Access to Experts - Defect Analysis/Repair Recommendations - Proactive Blade Maintenance StrategiesThe list goes on and on...Contact the Blade Experts if you aren't sure where to look for help!📧 MBK@windpowerlab.com   |   JS@windpowerlab.com#windturbines #insurance #subjectmatterexperts https://lnkd.in/e5_a6qJ",1,Ping,8mo,2022-06-07
"Wind turbines are a significant investment, so regular maintenance will ensure you get massive return and each turbine operates effectively for its maximum lifespan. Companies like LM Wind Power provide an excellent maintenance service and by installing a Ping Monitor you can ensure damage is spotted early, to minimise disruption and get as many years as possible out of your investment. https://lnkd.in/gatZpei3",9,"Did you know? 💡#Windturbineblades are designed to operate for more than two decades and need regular maintenance and checks to keep them in top shape, so that they carry on #spinning and generating power. This is where our highly-skilled #blade services team comes into the picture.  👷‍♂️👷‍♂️🛠️🛠️With more than 35 years of #experience, and emphasis on #Safety, #Innovation and #Quality we have one of the world's largest teams, expertly trained to service our own blades & those of any wind turbine manufacturer globally.  🌍Think, act, keep safe and arrive home safely! 👍 👍#LMWPServices #bladerepair #servicetechnicians #WeKnowBlades",1,Ping,10mo,2022-06-07
none,0,"Many of us in the wind turbine industry hear the term 'catastrophic damage'. But what does that mean in reality? Last year, in Iowa, a portion of a wind turbine blade fell off into a cornfield. Fortunately, there was no serious consequences - other than of course, the implications of repair in terms of productivity. The financial and environmental waste of this can be avoided by ensuring early detection of damage with a Ping Monitor.https://lnkd.in/g-XpRS6U",1,Ping,10mo,2022-06-07
Looking forward to working with the RIGCOM Pty Ltd team.,15,"RIGCOM Pty Ltd is excited to announce that we have partnered with Ping Services in the supply and distribution of the Ping Monitor. Using advanced proprietary acoustic based data analytics, Ping Monitor is a world-first device developed to improve preventative maintenance of wind turbine blades, reduce costs and manage power generation output. Partnering with Ping allows RIGCOM to continue to best serve our wind energy clients and ensure the life cycle of their assets.#RenewableEnergy #BladeRepair #WindTurbine #WindEnergy #WindTurbineRepair",1,Ping,11mo,2022-06-07
none,1,The Advertiser “Why #SouthAustralia innovators Fivecast Cryoclock Lumary Ping Services IO Energy and Myriota are drawing investors” https://lnkd.in/gGppGCy #startups,1,Ping,1yr,2022-06-07
Congratulations to Lyndsey Jackson for taking on the Platfarm leadership!,20,"I’m happy to share that I’ve been promoted to Cofounder & Chief Executive Officer at Platfarm!Want to know the story? We have a post up on our website https://lnkd.in/dtc6yDzW I'd love to say that there was some scandal or some exciting gossip behind the more - going viral would be great for brand awareness afterall... but alas :( Oli Madgett was offered an exiting new position, and the timing was right. So it's time for the next chapter in the Platfarm startup journey!Exciting times!#startup #agtech #viticulture #agchatoz",1,Platfarm,2w,2022-06-07
5G GPS positioning will be a game changer for accurate tracking in viticulture and horticulture. The future for incredibly accurate tracking on a smart device is very near! It's a game changer and a true step towards the democratisation of agriculture - a future Platfarm is working towards!#agriculture #5g #agtech #viticulture #horticulture,3,"Over the past 2 weeks, FrontierSI Project Manager, Dan W., Positioning and Geodesy Technical Lead, Eldar Rubinov, and Positioning Engineers, Christopher Marshall & Lachlan Ng, have been busy testing #5G #connectivity in #Victoria's #vineyards to learn how it could help #growers do things differently in the vineyard, and to test the capability of using #5gnetworks as the basis of a near-real-time #precise #positioning system.The project team has been testing 5G's #GPS positioning technology for #mobilephones and assessing how much it improves tracking of a tractor through the vineyard. It aims to showcase the value that #highresolution and #5Gconnectivity can provide in #agriculture.#Drones were also used to capture #terrain and #multispectral near #infrared imagery which would then be sent to the #cloud, processed into #NDVI #data and sent back to the tractor…all in near real time!Thanks to our 5G project partners, Positioning Engineer Luis Elneser and #dronepilot Yamila Fernandez from Position Partners and Lyndsey Jackson from Platfarm, Optus and Ericcson Inc for providing the positioning correction #technology network infrastructure and 5G connectivity for the trial, Kubota Corporation (Australia) for providing the tractors, and the amazing support of Dave Gerner at Wine Australia!To learn more about this project, including all the latest updates, follow FrontierSI on LinkedIn. The trial continues through to the end of this month.Graeme Kernich Phillip Delaney #AgTech  #digitalconnectivity #5gtechnology #PrecisionViticulture #Collaboration #partnerships",1,Platfarm,2w,2022-06-07
"We are really excited to be a part of this trial. If you are in the Mornington Peninsual, pop down and join us on Thursday morning. Or keep an eye on our website and social media as we share highlights over the next few days https://www.platfarm.com/#agtech #startup #gpstracking #wine",2,"Come and check out the outcomes of a trial testing 5G connectivity in vineyards. This work, courtesy of a collaboration between Platfarm, Position Partners and FrontierSI, demonstrates the value of high resolution and reliable digital connectivity has for AgTech solutions in agriculture.Thanks to Lyndsey Jackson, Oli Madgett, Luis Elneser and Dan W. and their teams for their work to date. Thanks Andy Clarke, Olivia Barrie and Niel Mason for putting on the demonstration day this week in the beautiful Mornington Peninsula Wine region. #AgTech #digitalconnectivity #5gtechnology #PrecisionViticulture #Collaboration #WineAustralia",1,Platfarm,1mo,2022-06-07
Huge win for South Australia - and a testament to the enduring work from the SA Agtech ecosystem. Bring on 2023!,4,"Huge news today, with Adelaide being selected to host evokeAG in February 2023! 🎉EvokeAg will bring more than 1500 people from the global AgriFood Tech eco-system to Adelaide, to discuss the future of food and agriculture over two full days (and nights 🥂)This is an incredible win for the AgriTech community in South Australia, and is the result of many people working together to build the momentum of AgriTech initiatives in our state. It is going to be an exciting year ahead in preparation for evokeAG 2023! 🚜#agriculture #agtech #agritech #foodtech #agribusiness",1,Platfarm,4mo,2022-06-07
none,4,We're hiring again! We're looking for a driven data/IT professional to support our work across some exciting sectors. An exciting opportunity to be part of a growth stage start-up under a global brand. Please see the link below and share this with your networks.,1,Predict,4mo,2022-06-07
none,5,"Are you looking for a challenge? Do you want to be part of the future of industry?We're looking for talented and driven young engineers to join PREDICT Australia's fast growing team at our Lot Fourteen office in Adelaide. This role presents an opportunity to fast track your personal development in your early career along with exposure to a number of key industry sectors including mining, oil & gas, energy and Defence. If you think you've got what it takes or you know someone with the skills to thrive in an SME environment, please send your application through the job posting below or get in touch.#recruitment #career #engineersjobs #predictivemaintenance",1,Predict,9mo,2022-06-07
"A huge thanks to Global Maintenance USG (GMUSG) and OZ Minerals for providing support through the ""Competitive Capability"" program.#predictivemaintenance #industrialanalytics #industrialautomation #assetmanagment",9,Global Maintenance USG (GMUSG)  has partnered with OZ Minerals through their COVID-19 Stakeholder Support Program to deliver a project aimed at increasing the ability for regional businesses to actively compete for work packages and promote their capability.The ‘Competitive Capability’ program offers co-funding for the development of a ‘virtual shopfront’ video to promote your competitive strengths.Cory Pritchard and the team from PREDICT Australia Pty Ltd created this video as part of the program.https://lnkd.in/g4ryBGq#gmusg #capability #businessdevelopment #informationtechnologycompany,1,Predict,11mo,2022-06-07
#gmusg #predictivemaintenance #predictiveanalytics,10,"PREDICT Australia Pty Ltd attended our first Global Maintenance USG (GMUSG) in 2018 and have continued to support the expo and Upper Spencer Gulf region since. We are proud to be a member of the new GMUSG Supply Chain Cluster, I look forward to spending more time in the region.",1,Predict,1yr,2022-06-07
"A big shoutout to Brandon Burns for introducing us to Simon Hakim and the team at Hunter! This is a perfect example of the PREPD community getting behind the PREPD business and creating opportunities for growth and awareness 🙌We have 36hrs of our capital raise remaining, click here to read more - https://lnkd.in/ghTTwGyx#investing #team #community #growth #business #opportunities Always consider the offer document and the general risk before investing.",8,"THE MAKING OF... PREPDWe are constantly inspired by the stories we cover in The Making Of… series. Each one is a shining example of the entrepreneurial spirit and the determination to change things for the better.Born out of the need for better hydration solutions for the 3rd world, Andrew Perry's story behind sports hydration brand, PREPD Hydration is another one that gets the hairs standing up on the back of our necks.To read their story head to our blog 👉🏼 https://lnkd.in/gE9GRAF6#challengerbrand #entrepreneurs #fmcg #cpg #sports #branding #marketing #startups #changeyourbrandforthebetter",1,PREPD,3mo,2022-06-07
none,14,"As a young brand we have always taken the approach of supporting up and coming athletes. To receive this picture of 2 cartons of PREPD Hydration rolling off the line at the Distribution Centre, enroute to Tokyo to support the hydration needs of Brand Ambassador Izzi Batt-Doyle was super exciting. Izzi will be running for Australia in the 5000m on July 30th at one of the most anticipated Olympic Games ever. It has been a life long goal of Izzi to represent her country and we couldn’t be happier for her. Congratulations Izzi👏👏👏 #hydration #sportsperformance #olympics2021 #chasingdreams #readyprepdgo",1,PREPD,11mo,2022-06-07
Don't forget to register for InsTech London's Live Chat discussing their latest report on Climate Change Regulation and Measurement on the 24th February.Reask CEO Thomas Loridan will join Oliver Wing our good friend from Fathom to talk about the future of climate risk modelling for the insurance industry.#climatechange #insuranceindustry,6,"Our next report, Climate Change Regulation and Measurement, will be released on Thursday 24 February. Matthew will discuss the findings and the impacts for the insurance value chain in a Live Chat at 2pm on the 24th. He will be joined by a speaker panel including Reask CEO and Co-founder Thomas Loridan and Fathom's Chief Research Officer Oliver Wing. More details, including how to register, available below.",1,Reask,4mo,2022-06-07
"Hear from our CEO Thomas Loridan and clients Twelve Capital on the role of AI and Insurtech in understanding the impacts of climate change on natural  catastrophes.Here at Reask we continue to build out our AI-based framework for building hazard models that better encapsulate climate variability both now, and into the future.Check out the article from investment experts Juniper Place below.#climatechange #artificialintelligence #naturalcatastrophes",6,A new article from Juniper Place looking at the relationship between Climate change and Natural catastrophes and some of the data techniques that the insurance industry is deploying to predict and mitigate those risks. A big thank you to the team at Twelve Capital and Thomas Loridan at Reask for your time and contributions.#esg #sustainableinvesting #climatechange #alternativeinvestment #insuretechhttps://lnkd.in/dtkdFAXf,1,Reask,4mo,2022-06-07
"Our CEO Thomas Loridan joins Steve Higginson and Martin Hotz to discuss all things tropical cyclones and climate risk, and how Reask's parametric solution - Metryc - can be used to help transfer risk.Tune in below to find out more.#tropicalcyclones #parametricinsurance #machinelearning #metryc",5,"The Australia Bureau of Meteorology has now raised the La Niña risk alert. This translates into higher flooding and tropical cyclones risks across the continent. How can #parametricinsurance  reshape the industry and protection gap, should #climatechange take a turn for the worse? Join Steve Higginson, Martin Hotz and Reask CEO and Co-Founder Thomas Loridan in this podcast to learn more. https://lnkd.in/gkHrtdN6 #innovativerisk #parametric",1,Reask,7mo,2022-06-07
"In South Australia, almost 1 in 70 people are struggling to find a safe place to call home and more than 6000 people are sleeping rough each night.This year, our CE Chris Menz will once again take part in Vinnies Australia CEO sleepout to raise awareness and funds to help change the lives of Australians experiencing homelessness.Watch his video below to learn more or you can donate to his fundraising page here https://lnkd.in/gpQgvDZ#ceosleepoutau #endhomelessness",11,"Like many others, every night I get to go home to my family, a hot meal and the warmth of my bed, and its easy to take this granted. In South Australia each night, more than 6000 people are sleeping rough and do not have a place to call home.On 23 June, I am again sleeping outdoors for a night to raise awareness and funds for Vinnies Australia to assist people experiencing homelessness and people at risk of homelessness.Don’t just like my post, watch my video to learn more and consider clicking through to my fundraising page and making a donation: https://lnkd.in/g_tyEQj #fundraising #ceosleepoutau #charity #endhomelessness",1,RENEWAL SA,6,2022-06-07
"In a 10 hour exercise, involving 160 separate pick-up and set-down runs, 2,000 solar panels were successfully heli-lifed onto the roofline of our Line Zero building and TAFE SA campus.Part of an expansion of the District Energy Scheme, this Stage 2 installation doubles the capacity of the existing solar asset laid on the roof of Tonsley Innovation District MAB in 2020, which at the time was one of Australia's largest rooftop-mounted solar arrays.#innovation #southaustralia #adelaide #solarenergy #renewable #tonsley",22,"At Tonsley Innovation District, 80 pallets of solar panels, weighing up to 800kg each, were airlifted onto the roofline of Renewal SA  Line Zero building and TAFE SA  campus.It took 10 hours of Heli-lifting 2,000 panels onto the buildings and is expected to increase the district’s solar capacity to 5 Megawatts. Aerotech Helicopters were used for conductingthe drops with designated emergency safe areas, landing areas and petrol tanker for refueling.Renewal SA General Manager, Project Delivery and Property, Todd Perry said ""Combined with the existing solar panels atop the MAB, the new panels will collectively generate up to 80% of Tonsley’s energy demand.”At project completion there will be 13,000 panels, 34 inverters and over 15,000 metres of electrical cables installed as part of the District Energy Scheme.Interested ? Read more about it here : https://bit.ly/3Lcm70B#innovation #solar #solarenergy #renewable #energy #tonsley #manufacturing #growth #electricity",1,RENEWAL SA,3w,2022-06-07
The Roads2Civil program seeks to support clear pathways for students into the Civil Construction Industry. It develops innovative ways of embedding enterprise and employability skills training within the SACE curriculum to reflect more authentic and hands-on learning for students. Our Works Program proudly supports this program and is excited to see past program graduates such as Georgia excelling in Civil Construction Apprenticeships with Civil Apprenticeships and Careers Ltdn. The Works Program look forward to supporting two more programs this year with Henley High School and Western Technical College-South Australia.#southaustralia #worksprogram #civiltrain #training #civilconstructionCITB South Australia City of Port Adelaide Enfield Civil Train SA/NT/WA (RTO 45621),6,"Last year, in partnership with our stakeholders, Civil Train SA ran a successful Roads2Civil Program that offered practical experience on a real-life work site, whilst providing the City or Port Adelaide Enfield – Junction Community Centre a new play space for the community. Georgia Sturtzel was one of the 12 students who successfully graduated and was signed up with Civil Apprenticeships and Careers Ltd to commence her apprenticeship and begin her career in the Civil Construction Industry. Today, Georgia is being hosted by McMahon Services, one of Australia’s industry leading construction and environmental services provider.  Thank you to all the stakeholders that bought the program together: Western Technical College-South Australia, CITB South Australia, City of Port Adelaide Enfield, Renewal SA Works Program and The Junction Community Centre.#civiltrain #southaustralia #cacl #apprentiecship #training #program #practicalskills #apprentice #civil #civilconstruction #civilindustry #career #stakeholders #thankyou #careers",1,RENEWAL SA,2mo,2022-06-07
"Crucial to the successful co-delivery of the public realm upgrade is the collaboration between the public and private sectors, each of which is undertaking separate works on the open plaza that will ultimately connect and provide a seamless experience for visitors.""Having the plaza open to the public by March next year is crucial for our state economy as it will ensure that the community has access to an attractive new landscaped space that showcases Adelaide through our premier arts precinct and March festivals,"" says our CE Chris Menz.“The $450 million investment that Walker Corporation is contributing to the Festival Plaza redevelopment, coupled with $213 million of state government funding, will see Festival Plaza become the world-class cultural meeting place that we always envisaged, the artistic heart of the Adelaide Riverbank and a state asset of which all South Australians can be proud.”#MakingADifference #FestivalPlaza #ThrivingSA #Adelaide #SouthAustralia",27,"In less than 4 months the much-anticipated Festival Plaza will open to the public - just in time for ‘Mad March’.This once-in-a-generation development will breathe new life into one of the most important parts of our city.We’re transforming the Riverbank precinct in partnership with Australia’s largest privately-owned development company Walker Corporation into a world-class cultural, arts and entertainment precinct.Adelaide is already the third most liveablecity in the world but we’re doing what we can to make it number one!",1,RENEWAL SA,7mo,2022-06-07
"Congratulations to Henley High School and the participants from the 2020 Roads2Civil pilot school based apprenticeship program in civil construction.  The Renewal SA Works Program at Bowden is proud to have partnered with you on this program which is a finalist in the 2021 South Australian Training Awards, VET Innovation in Schools category.This pathway program resulted in 14 apprenticeship outcomes and was possible through the support of City of Charles Sturt, Civil Apprenticeships and Careers Ltd and Civil Train.#Apprenticeships #SouthAustralia #MakingADifference",14,A huge congratulations to all the finalists of the 2021 South Australian Training Awards!So many great stories from SA’s VET sector.  Follow the link to learn more: https://bit.ly/3jcBqun,1,RENEWAL SA,10mo,2022-06-07
"The last of the State Heritage listed buildings to be refurbished at Lot Fourteen, the Bice Building, is now complete.This four-storey building is significantly influenced by Edwardian architectural qualities with the building undergoing a complete heritage-façade upgrade whilst maintaining its original, stunning features.    This work and the surrounding canopy and public realm was undertaken by Hansen Yuncken and was delivered on time and under budget. A fantastic achievement for all involved.#LotFourteen #Adelaide #SouthAustralia #Innovation #HeritagePrecinct",16,"The ‘jewel in the crown’ of the Heritage Precinct, Bice Building, is near completion. We’ve now opened up the public realm in front of the building with a new glass canopy offering breakout, lunch and gathering areas underneath. You are now freely able to walk around this area as fencing has been removed, so come down and take a look!Click through to deep dive into the building’s history and find out which tenants will be moving in as we continue to curate a global innovation precinct right here in South Australia.#LotFourteen #Adelaide #SouthAustralia #HeritagePrecinct #BiceBuilding #PublicRealm #History #Architecture #Refurbishment #Innovation #Precinct",1,RENEWAL SA,10mo,2022-06-07
The level of demolition that has taken place over the past three years at Lot Fourteen is truly astounding as the next stage of growth and development begins to take place.Take a look below.,45,"We're making way for the next stage of growth and development at our burgeoning innovation district.All former Royal Adelaide Hospital above ground structures have now been removed across the site with 100 per cent of concrete, bricks and masonry recycled.Take a look at the last three years of demolition 👇👇#MakingADifference #ThrivingSA #InnovationDistrict #Adelaide McMahon Services",1,RENEWAL SA,6mo,2022-06-07
"Some impressive stats for your Thursday!Our work in delivering demolition, refurbishment and development works for Lot Fourteen with construction organisations such as McMahon Services, enables this amazing development to continue to meet its construction and demolition milestones.Lot Fourteen is being led by the Department of the Premier and Cabinet, Government of South Australia.",22,"209,114 workforce hours61,475 tonnes of bricks, concrete and asphalt recycled3,053 tonnes of scrap metal recycledMcMahon Services is helping Lot Fourteen, Adelaide’s BIGGEST and most exciting development, kick goals and meet construction and demolition milestones!#LotFourteen #Adelaide #SouthAustralia #Construction #McMahonServices #Development #Milestones #Demolition",1,RENEWAL SA,1yr,2022-06-07
"Hello everyone,We are hiring!We are looking for an enthusiastic biotechnology specialist with an understanding of the formulation and product development for microgravity research.Know anyone who might be interested?#DrugDevelopment #lifescience #microbiology #biotechnology #spaceresearch #tissueculture #analyticalskills #bioinformatics #pharmaceuticalsciences #biotechnologist #jobannouncement #hiring #research",21,"Hello, space enthusiasts,We are looking for an enthusiastic biotechnology specialist with an understanding of the formulation and product development for microgravity research.If this sounds like you or anyone you may know, then click below for further details.https://lnkd.in/eDCtbMwK#DrugDevelopment #lifescience #microbiology #biotechnology #spaceresearch #tissueculture #analyticalskills #bioinformatics #pharmaceuticalsciences #biotechnologist #jobannouncement #hiring",1,ResearchSat,2mo,2022-06-07
Congrats Shrushti. Glad to have you as our Teammate.,12,"On the occasion of National Science Day. My article was accepted for publication. I'd like to express my gratitude to Cogito137  for considering my article for publication, particularly in their 2nd anniversary issue.This article focuses on the impact of air pollution on the COVID-19 mortality rate. It demonstrates how even a minor increase in the amount of dangerous air pollutants can exacerbate COVID-19's damaging consequences.Do consider reading it and I would be happy to hear your thoughts on this. https://lnkd.in/dncZ4z_w#science #covid #iiser #iiserkolkata #scienceday #covid19research #pollution #airpollution #impacts #healthcare",1,ResearchSat,3mo,2022-06-07
none,0,New paper in Chem Soc Rev: Review about microenapsulation and how to use that for the manufacture of nanofertilisers. #microfluidics #flowchemistry #fertilizer #fertilizers,1,ResearchSat,9mo,2022-06-07
none,3,"Bucking the trend of the declining manufacturing industry in South Australia, Adelaide-based Seed Terminator has recently rolled its 500th machine off its production line in Lonsdale.Brought to you by BDO in Australia.#SouthAustralia #Corporate #Agriculture #Business #Sponsored",1,Seed Terminator,1w,2022-06-07
none,2,"What an incredible breakfast we had for #FastmoversSA 2022 yesterday! Our business growth program Alumni Fivecast picked up first place in the Top 25 Fastmovers and the Fastest Employment Growth Award. Fellow Alumni Seed Terminator picked up the Excellence in Business Award too. We couldn't be prouder of your achievements Brenton Cooper, Ross Buglak, David Blokow,  Duane Rivett, Nicholas Berry, Mark Ashenden and Paul Sandercock.We were excited for our growth program participants Big Shed Brewing, Clevertar, Discount Party Supplies (Australia), and Prohibition Liquor Co., to make the top 25 this year as well. Great recognition for sustainable growth, with some companies making the list over multiple years. Notable were ODD Games Pty Ltd who came second for the second year in a row - there's always next year!As a major sponsor, it's fantastic to see companies recognised for their achievements and go on to greater heights. We're so grateful to BDO in Australia, Market Ease Digital, Floodlight Content, littlelion PR, News Corp, NOVA Entertainment and Seven Network for their support of FastMoversSA year-in-year out.#centreforbusinessgrowth #business #growth Jana Matthews Ryan Williams Anna Storen Jessica Jennings",1,Seed Terminator,1w,2022-06-07
none,6,"This morning we were thrilled to start the day by celebrating the 2022 Fast Movers SA Top 25 and Award Winners at Adelaide Oval.  Congratulations to: 1st Place and Fastest Employment Growth Award: Fivecast 2nd Place: ODD Games Pty Ltd 3rd Place: Diverse Mechanical SolutionsExcellence in Business Award: Seed Terminator Thanks to all our sponsors and attendees, particularly our guest speaker Premier of South Australia Peter Malinauskas and MC Elspeth Hussey.For the full list of finalists and award winners, visit fastmoverssa.com.au.#FastMoversSA #success #SouthAustralia",1,Seed Terminator,1w,2022-06-07
Congratulations to the organisers and other award winners! #sagreat,0,"What makes #FastMoversSA such a special event for #SA growth companies? From the Premier Peter Malinauskas to company owners - this video says it all. Shout out to our director Dr Jana Matthews, ANZ Chair in #business #growth, and our Alumni award winners Brenton Cooper of Fivecast and Mark Ashenden of Seed Terminator, and fellow Major Sponsor Binh An Nguyen of Market Ease Digital who all feature. Great video production work by Alumni Justin Counihan and his team at Floodlight Content, as always. And thanks to FastMoversSA 2022 organisers Anna Storen and Jessica Jennings of BDO in Australia for creating another fantastic event!#centreforbusinessgrowth Ryan Williams Nikki Becker Andrea Michaels Department for Innovation and Skills - South Australia",1,Seed Terminator,5,2022-06-07
none,0,"#FlashbackFriday In 1842, J.I. Case Company founded by Jerome Increase Case to build threshing machines in Wisconsin. This is one of the early threshing machines created at J.I. Case Company, now known as Case IH. #CNHIndustrial",1,Seed Terminator,1mo,2022-06-07
none,4,"Huge congratulations to everyone who was a part of The Impact Awards Gala Dinner last night.Our Winners of The Impact Awards 2022 were Energy Exemplar and Fivecast, two exceptional companies based in South Australia and growing their global businesses at an incredible rate. Our Hall of Fame inductee for 2022 was Ulrike Klein AO who received a standing ovation for her incredible contribution to South Australia through the creation of both Jurlique and UKARIA Cultural Centre.Our Scholarship winners on the night were Douglas Bolzon from Dominant for the South Australian Leaders program, Emily Bradley from Southern Design Group for The CEO Institute program, and both James DiLiberto from AZZO and Kimal Singh from NDE Solutions Pty Ltd for the Australian Centre for Business Growth program.Our Finalists for 2022 were AZZO, Dominant, escient, Foxie Games, NDE Solutions Pty Ltd, Nuago, PSD Energy, Seed Terminator and Southern Design Group. These companies were shortlisted from a large field of applicants and deemed worthy finalists by our esteemed panel of judges due to their overwhelming impact on the South Australian economy. Together, their growth over the last three years has been phenomenal and they have created hundreds of jobs within the State.  Realising over 20 times the national average rate of growth, these companies are a shining example of everything that is great about doing business in South Australia. We couldn't have done any of this without our sponsors for 2022 so huge thanks go to our Gold Sponsors Consilium Technology and the Australian Centre for Business Growth, our silver sponsors Australian Industrial Transformation Institute and Seeley International Pty Ltd and our bronze sponsor Kain Lawyers.  With special thanks to the Australian Industrial Transformation Institute at Flinders University for being our trophy sponsor and helping us create an incredibly unique 3D printed design for our awards.Finally, to my fellow Directors of The Impact Awards, congratulations on putting on an incredible event. Ben Campbell from The Self Made Theory, Mark Fusco from Advanced Focus (Australia), Rob Silva from Adept Technology, Paul Preiss from The CEO Institute and Seth Thuraisingham from Consilium Technology, all of the hard work paid off!#TheImpactAwards #SouthAustralia #economy #growth #jobs",1,Seed Terminator,2mo,2022-06-07
