post,reaction_count,repost,company,post_time,date_retrived
"We spoke to friend of Ping Services Barend van der Poll  from Tilt Renewables  about his experiences in the renewable sector, and future predictions for wind energy in Australia. Read more here.",8,0,Ping,3mo,2022-06-07
"We spoke to a friend of Ping Services Barend van der Poll from Tilt Renewables  about his experiences in the renewable sector, and future predictions for wind energy in Australia",2,0,Ping,3mo,2022-06-07
"We spoke to a friend of Ping Services Barend van der Poll from Tilt Renewables  about his experiences in the renewable sector, and future predictions for wind energy in Australia",2,0,Ping,3mo,2022-06-07
"Thanks to our partners 에이에스티(AST International) who recently represented Ping at the Smart Factory Automation World 2022 exhibition in South Korea. It's great to have friends spreading the word of Ping Monitors in East Asia. As a part of its Green New Deal, South Korea aims to generate 20% of its power with renewables by 2030 so its great to get in front of the decision makers in the industry to let them know the benefits of installing Ping Monitors on wind turbines, to identify damage quickly, and ensure downtime is minimised.#renewableenergyasia #windenergyasia #windenergy #pingmonitor #windturbine #windturbinetechnician",13,0,Ping,1mo,2022-06-07
"Our founder, Matthew Stead has just returned from Sweden, where he was taking part in the WinterWind 2022, the conference for wind energy professionals from across the world. It was great to finally have a chance to meet new and old friends face to face and tell more people about how Ping Monitors can help their wind turbine operations to be safer and more efficient.#winterwind2022 #renewableenergy #greenenergy #pingmonitors #windturbine #windpower",70,0,Ping,1mo,2022-06-07
"Typically, a wind turbine blade will be inspected manually or via drone but in some cases this could leave a site unexamined for up to a year. While OEMS or operators may identify catastrophic damage, for example from a lightning strike, due to the visual impact, minor damage will be hard to track. Like with car or house repairs, the longer we leave it the worse it gets. Here we share our thoughts on why identifying less immediately devastating damage via a Ping Monitor as and when it happens can save you money in the long run.",34,0,Ping,6mo,2022-06-07
"We recently worked with Offshore Renewable Energy Catapult to estimate the potential savings of immediately picking up any damage to offshore wind turbines before it escalates. As a result of the reduced requirement for repairs or blade replacement, the installation of Ping Monitors equates to an annual savings range of US $13,643 to US $25,829 per turbine per year. Read more about it here. #windenergy #offshorewind #offshorewindenergy #renewableenergy #windturbines #windpower #windenergy #pingmonitor",15,0,Ping,6mo,2022-06-07
"We recently spoke to friend of Ping Services Giles Rinckes to learn more about his experience in the renewable energy sector, and predictions for the future. Giles is is the founder of Argent Power, a consultancy which specialises in professional technical and management support services, with a focus on the renewable energy industry.Read more here:",90,0,Ping,6mo,2022-06-07
"Ping is growing! We're currently looking for a Chief of Staff and Operations to steer our ship and lead the team. We're a start-up, so are looking for someone with an energetic mindset, coupled with experience in managing teams, great communication, organisation and problem solving. You can read more about the opportunity here:  https://lnkd.in/efg7vBUH",20,0,Ping,1mo,2022-06-07
"Catastrophic damage to a wind turbine blade keeps owners and operators awake at night, but the risk can be drastically reduced by identifying damage from the second it occurs. Here we share our thoughts on why being on the front foot can avoid disastrous consequences down the line.#windenergy #windturbine #pingmonitor #renewableenergy #energyefficiency #pingmonitor",11,0,Ping,7mo,2022-06-07
Thanks Startup Daily for sharing the news of our new ice detection system!https://lnkd.in/e3p4jQRR,24,0,Ping,1mo,2022-06-07
We were recently identified as one of the CLIMAX 500 Top 10 Startups! Thanks so much for sharing our philosophy to use tech to mitigate climate change. You can read more here:https://lnkd.in/dK-bysGZ,18,0,Ping,1mo,2022-06-07
"Tomorrow, Wednesday, 13 April, we're attending Startmate’s Virtual Demo Day watch party to celebrate the end of an epic 12 weeks of its Accelerator program. If you're interested in attending to find out how our participation in the program has helped us grow, you can register to attend here:https://lnkd.in/gs-2HDSJ",5,0,Ping,1mo,2022-06-07
"We’re thrilled to today announce a project we’ve been working on behind the scenes for a while – our new Ice Detection System. Ice on turbine blades is a significant issue in some colder climates, causing damage and potentially becoming a safety hazard. This can lead to turbines being shut down for long periods and subject to dangerous ice load resulting in revenue and energy shortages. We’ve developed a software upgrade to our system specifically to ensure we can identify ice damage via continuous acoustic monitoring. Wind energy is a rapidly expanding sector, and many of the sites across the world, particularly in Northern Europe and America are vulnerable to the threat of ice. We’re really excited to be rolling out this new technology to support wind farm operators and owners to minimise damage, and maximise efficiency.#windpower #windenergy #windenergie #renewableenergy #pingmonitor #greenenergy #acousticsolutions",94,0,Ping,1mo,2022-06-07
"Clean Energy Council  has just released The Clean Energy Report which provides a comprehensive overview of the Australian clean energy sector. It found that the Australian renewable energy industry accounted for 32.5% of Australia’s total electricity generation in 2021, which represented an increase of almost 5 percentage points compared to 2020. Wind energy comprises 35.86% of renewable energy generation, the highest of all types. It’s great to see Australia heading in the right direction. Read the report here: https://lnkd.in/dah26qma",15,0,Ping,2mo,2022-06-07
Next month our co-founder Matthew Stead is heading over to Sweden for the Winterwind International Wind Energy Conference from Svensk Vindkraft / Swedish Wind Power. We're excited about getting together face to face with other wind energy professionals from across the world after such a long time. Watch this space for more details!#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #winterwind2022 #winterwindhttps://winterwind.se/,15,0,Ping,2mo,2022-06-07
Ping's April newsletter is now live! You can read about what we've been up to recently below. If you'd like to subscribe to our newsletter please contact us at info@ping.services https://lnkd.in/gTeNdGRH,18,0,Ping,1mo,2022-06-07
"We were recently included in Omdena's list of '16 Rising CleanTech Startups Using AI for a Greener Future'. We use acoustic analysis, machine learning and the Internet of Things to continuously detect wind turbine blade damage - AI allows us to rate the health of the blade and monitor changes over time.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy https://lnkd.in/dVDv78RS",10,0,Ping,3mo,2022-06-07
"Ahead of our attendance at the Blades USA Forum in Texas next week, we spoke to the team about why the conference is so important for those in the wind turbine blades industry. You can read more here: https://lnkd.in/dV63WmAP",11,0,Ping,3mo,2022-06-07
"Thanks to our friends Wind Power LAB for adding us to their list of Trusted Partners. We work closely with the Danish company which provides expertise on blade risk management. We're lucky to be part of such a collaborative community who are collectively making wind power as efficient and cost-effective as it can be, as we work towards a future where all energy is renewable.https://lnkd.in/dcC6GPwU",10,0,Ping,3mo,2022-06-07
We recently appeared in Startup Basecamp's new monthly series profiling Tech Companies to watch. It's rewarding to be recognised by this community which connects enterprises across the world to work together to collectively use technology to fight climate change. #pingmonitor #climatechange #startupbasecamp #siliconvalley #techstartups #energyefficiency #renewableenergy #windenergy,13,0,Ping,4mo,2022-06-07
"Thanks so much to our friends Startmate for this surprise delivery! We’ve been fortunate to have been part of the organisation’s Summer22 Accelerator program where we received immeasurable support including mentoring, training and networking opportunities. Startmate are doing awesome things for the start-up community in Australia and New Zealand and have helped hundreds of companies over the past decade to grow their enterprises.#startmate #startupANZ #pingmonitor #pingservices #lotfourteen",7,0,Ping,2mo,2022-06-07
"Meet the Team: Bradley Miller is Development and Analytics Engineer at Ping. Brad graduated with a Bachelor of Mechatronic Engineering and Computer Science from the University of Adelaide in 2017. Out of Uni he worked as an acoustic consultant for three years before joining Ping.In his year and a half at Ping Brad has filled various roles including; the development of new algorithms, customer services, data analysis and assisting with production and other tasks where required. It's this variety that Brad enjoys best about working at a smaller company like a start-up. He says, ""It's exciting to work on new, never before developed technology and to tackle the various challenges that come along with it.""In his spare time Brad enjoys long walks on the beach, various sports, travelling, and is a certified gamer.#pingmonitor #pingservices #lotfourteen #acousticengineering #analytics #renewableenergy",28,0,Ping,2mo,2022-06-07
"In less than two weeks, the Blades USA Forum from Windpower Monthly is taking place in Austin, Texas. Ping Monitor will have a stand at the event alongside Weather Guard Lightning Tech. It’s great that this year will be a live event, bringing together many experts from the blade industry. If you’re heading down, please come along and say hi to Allen Hall and Noah Cook-Dubin who will be manning the Ping Services stand.More info can be found here: https://lnkd.in/dMCj39g#bladesusa #bladeengineer #windenergy #windturbine #windpower #engineering #engineers #renewableenergy",16,0,Ping,4mo,2022-06-07
"S&P Global Intelligence 451 Research, which undertakes data-led research to provide fact based analysis recently undertook a review of Ping Monitor's offering. It summarised some of our benefits stating: ""Unlike visual inspections or drone surveillance, acoustic monitoring can be continuous and act as an early warning system. Its primary use case is to prevent catastrophic damage, and provide early warning to save maintenance cost"". It highlighted that “A key element in the Ping proposition is the edge analytics that its monitor provides, which reduces data backhaul."" and saw an opportunity: ""With its satellite connectivity, Ping can offer continuous monitoring from every location in the world."" You can fid out more about accessing the research here: https://451research.com/",9,0,Ping,4mo,2022-06-07
"PING AROUND THE WORLD: Our second biggest global market for Ping Monitors is the UK - a small country but punching above its weight in terms of wind energy. In 2020, wind energy generation accounted for 24% of total electricity generation; with offshore wind accounting for 13% and onshore wind accounting for 11% (ONS).#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #windenergyuk #cleanenergy Photo by Nicholas Doherty on Unsplash",27,0,Ping,2mo,2022-06-07
"PING AROUND THE WORLD: Ping Monitors have been installed on sites all across the world. The largest number is in the US, where there are more than 70,800 turbines across approximately 1,500 wind power projects spanning at least 44 states (as of January 2022). It is estimated that the average wind turbine that came online in 2020 generates enough electricity in just 46 minutes to power an average U.S. home for one month (USWTDB)Photo by Aiden Guinnip on Unsplash#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #windenergyusa",48,0,Ping,2mo,2022-06-07
"It was great last week to finally have the opportunity for the team to get together for a group lunch, after a period where we’ve all been predominantly working remotely. It gave us a chance to welcome Jo Schiller, Jackie Moran, Andrew McLean and Maria Paula Trujillo who have recently joined us. We’re lucky to have such a collaborative and enthusiastic team who share our collective goal to improve wind turbine performance and a holistic vision to support a future where energy is renewable.#team #pingmonitor #pingservices #renewableenergy #adelaidebusiness #southaustralia",58,0,Ping,2mo,2022-06-07
Did you know our Ping Monitors are on sites in over a dozen countries across the world? This image shows where our systems are deployed. Where will we be next?#pingmonitor #windenergy #windturbine #engineering #engineers #renewableenergy #globalenergy,87,0,Ping,2mo,2022-06-07
"Meet the Team: Elizabeth Turenko is QA and Logistics Manager at Ping. Originally from Ukraine, she moved to Australia seven years ago and lived in three other states, completing her second degree in a Bachelor of IT in Melbourne before settling in Adelaide. Elizabeth joined us two years ago as software developer support before being promoted to her current role. She says, ""Ping is a great company to work at, I work with great people on a great product, which is part of the green energy industry."" In her spare time, Elizabeth enjoys yoga and loves to travel. She also has a soft spot for pandas.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #southaustralia #lotfourteen #pingmonitor",25,0,Ping,2mo,2022-06-07
"We're very fortunate for Artesian (Alternative Investments) to have seen potential in us as a company, as part of its Clean Energy Seed Fund. The fund invests from seed to growth stage in clean energy startups from Australia, developing software, hardware or new business models applicable to the clean energy market. We're amongst good company, collectively working towards an Australia where the future is clean energy. Read more here:https://lnkd.in/gMBrNBbi",14,0,Ping,6mo,2022-06-07
"We’re over the moon to have been featured by the BBC in an article regarding ‘shoebox-sized’ satellites trying to change the world. We’ve partnered with Myriota in the past to use satellites in order to relay information back regarding damage picked up via our monitors. This kind of recognition by one of the world’s most recognised news platforms is testament to the hard work we’ve put in to ensure wind turbines can be efficient as possible, and to further the journey towards a future where energy is renewable.https://lnkd.in/grrCC-v5",14,0,Ping,6mo,2022-06-07
"Next month Tonsley Future Energy Consortium is hosting Future Energy Week, a series of events that will showcase the best and brightest in the energy sector. We are taking part in the Start-up Showcase on Friday 19th November. For more information and tickets go to:https://lnkd.in/g8pzpBE5",6,0,Ping,7mo,2022-06-07
"One of the least predictable causes of blade damage is lightning strikes. And the consequences can be catastrophic. A Ping Monitor will pick up this damage straight away, meaning it can be addressed as quickly as possible. Other methods of monitoring may not identify damage for months. For example, in the US our monitors picked up damage, and an alarm was sent to the user. It transpired there had been a +90kA strike which was later confirmed as can be seen in this image. By taking quick action, the operator could address the issue immediately, and minimise downtime.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #windpower #pingmonitor",26,0,Ping,3mo,2022-06-07
"The Global Wind Energy Council is calling on leaders and decision makers to commit to investing in wind energy ahead of the COP26 UN conference on Climate this November. Its new campaign 'Wind, Are you In?', as summarised in this video, talks about the benefits of wind, not just from a climate change perspective, but also in terms of economic benefit. We believe the future of renewable energy is in wind, and want to work with the industry to ensure it is as efficient and cost-effective as it can be.#windpower #COP26 #windareyouin #windenergy #renewableenergy https://lnkd.in/gXpFYDu",12,0,Ping,11mo,2022-06-07
"Today we are taking part in the Start-up Showcase as part of Future Energy Week from the Tonsley Future Energy Consortium. If you're heading down, come and say hi!https://lnkd.in/dVtRKMnz",5,0,Ping,7mo,2022-06-07
"One of the most high risk consequences of damage to a turbine blade is a transverse crack, which occur on the blade in the transition zone and the max chord area as a result of stress. This can lead to catastrophic blade failure, particularly if not detected early. In some cases this damage is unavoidable, but detecting it early can minimise financial implications. Bladena ApS has a guide to illustrate the impact of this which you can view here. Get in touch if you want to find out how a Ping Monitor installation can monitor transverse cracks, and repairs can be optimised.#windenergy #windturbine #engineering #renewableenergy #energyefficiency #bladenahttps://lnkd.in/gEy6wQxh",5,0,Ping,8mo,2022-06-07
We've been named in the inaugural Global Impact Intelligence Platform HolonIQ's top 1000 Climate tech companies - worldwide! We're in great company amongst many other forward-thinking start-ups and companies making a contribution to climate change mitigation. 🎉 https://lnkd.in/e_NfXg4H,6,0,Ping,6mo,2022-06-07
Thanks to Google Cloud for sharing our story on its platform. We use Google Cloud and Firebase technology to gather and analyse the data from our listening devices on wind turbines. You can read more here:#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #googlecloud #firebase https://lnkd.in/gnYgPUsU,15,0,Ping,8mo,2022-06-07
"Great insight here from Martin Sørensen. We're all working towards the same goal of affordable, efficient and reliable wind energy. Encouraging collaboration between operators and OEMs needn't be feared, but encouraged, we can all learn from one another in this industry to ensure the future of renewables is wind.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #energyefficiency #windpowerengineeringhttps://lnkd.in/dgn2Nh9F",6,0,Ping,9mo,2022-06-07
"We've partnered with leading wind energy publication Windpower Monthly to spread the word about Ping Monitors. We want to ensure more people across the sector are aware of how continuous monitoring identifies blade damage immediately, therefore reducing downtime, inefficiency and repair costs. You can read the article here: https://lnkd.in/gGubi_Fv",30,0,Ping,7mo,2022-06-07
"We welcome the news that Australia’s first offshore wind farm is closer to being given the green-light. Not only does it demonstrate progression in terms of embracing renewable energy, but it will also help to create jobs here in Australia.#renewableenergy #energy #offshorewind #cleanenergy #australia #windpower #windpoweraustraliahttps://lnkd.in/gBnnt833",17,0,Ping,9mo,2022-06-07
"Last week, Ping Services CEO Matthew Stead  was interviewed on the Uptime Wind Energy Podcast, discussing how the Ping Monitor tunes out background noise, in order to only pick up acoustics that relate to turbine damage. You can watch the podcast here:https://lnkd.in/gPztm3x",8,0,Ping,1yr,2022-06-07
"Many of us in the wind turbine industry hear the term 'catastrophic damage'. But what does that mean in reality? Last year, in Iowa, a portion of a wind turbine blade fell off into a cornfield. Fortunately, there was no serious consequences - other than of course, the implications of repair in terms of productivity. The financial and environmental waste of this can be avoided by ensuring early detection of damage with a Ping Monitor.https://lnkd.in/g-XpRS6U",8,0,Ping,10mo,2022-06-07
"We are rapidly approaching a milestone of over 600 installations of Ping Monitors on turbines in 15 countries. We're pretty chuffed with this figure, given we are only 3 years old. Thanks to the team and all those who have supported us along the way! 🎉#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #smallbusinessaustralia #lotfourteen #milestone Photo by Sofiya Levchenko on Unsplash",50,0,Ping,3mo,2022-06-07
"There's not been a lot to celebrate this year, but it's welcome news that renewable energy generation has hit a record high in Australia. Renewables jumped up almost 20% in the National Energy Market (NEM) in the first half of 2021. As more nations embrace the environmental and economic benefits of renewable energy, the need for maintaining sources such as wind turbines will become more crucial.#bladeengineer #windenergy #windturbine #assetmonitoring #engineering #engineers #renewableenergy #energyaustraliahttps://lnkd.in/gh3KD8CN",12,0,Ping,10mo,2022-06-07
"A recent article in EcoGeneration regarding insurance claims in the eco-energy sector in Australia cited data from GCube Consulting which found that 'one of the biggest contributing factors of the high mechanical breakdown claim volume arose from blade damage as a result of lightning strikes'. The Ping world class system would identify any damage caused by lightning immediately, sending information back to the user in real time. This early detection means potentially catastrophic damage can be avoided, saving wasted time and resource and ultimately reducing inefficiency.#bladeengineer #windenergy #windturbine #assetmonitoring #engineering #cleanenergy #renewableenergy #Pingmonitorhttps://lnkd.in/gG4Tg-R",7,0,Ping,1yr,2022-06-07
"We often get asked how we can demonstrate return on investment for a Ping Monitor. RIGCOM Pty Ltd estimates that the average repair of damage to a blade if unidentified immediately and actioned would be around $16,000. However, if the damage was not picked up for 12 months (which would be the case with sites that only have annual manual inspections), and damage progresses through more layers or to the core - the cost could escalate to around $38,000. The estimations took into account the cost of professional technicians and associated expenses, materials and equipment. This was not even taking into account the time and money wasted through downtime. These images from ArthWind Services&Consulting show how the damage has more than doubled in size over 12 months.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #googlecloud #firebase",17,0,Ping,4mo,2022-06-07
"On Global Wind Day last week, the Global Wind Coalition for COP26 launched a new campaign in the run up to the UN Climate Change conference in November in Glasgow. It asks governments, companies and people across the world, ""Wind. Are You In?"". We hope more decisions makers understand the benefits of wind energy, not just for putting us on track to achieving net zero, but for its reliability, affordability and sustainability benefits. You can find out more at the link below. #sustainability #climatechange #windenergy #energy #windpower #windareyouin https://windareyouin.com/",4,0,Ping,1yr,2022-06-07
We were thrilled to be included in The Australian recently in a feature about growth companies in South Australia that are positioned favourably for investment. Thanks to Valerina Changarathil for the opportunity to be included alongside some other innovative businesses including Myriota and Fivecast. #Southaustralia #Lotfourteen #PingServices #IChooseSA #innovationhttps://lnkd.in/grxprCn,24,0,Ping,1yr,2022-06-07
"The team ArthWind Services&Consulting recently captured these images which illustrate how damage to a blade can increase significantly over time if not addressed as soon as possible. This crack nearly doubled in size over twelve months, having been left and not repaired immediately. With a Ping Monitor, any damage is identified in real-time and can be addressed quickly to avoid unnecessary worsening. The combined visual inspection can evaluate how critical is the damage objecting to forecast the best repair strategy. It also significantly reduces costs, which have been estimated to double if the damage is left for 12 months (RIGCOM, 2021).",104,0,Ping,6mo,2022-06-07
"We’ve recently partnered with Cubico Sustainable Investments to deliver our biggest shipment of Ping Monitors. We are sending 107 to Brazil to be rolled out across a number of wind turbine sites. Brazil is a front-runner in renewable energy and is ranked seventh place in the global ranking of the Global Wind Energy Council. We look forward to contributing to the efficient running of the turbines, by minimising downtime through early blade damage detection.#windenergy #windturbine #pingmonitor #renewableenergy #energyefficiency #renewablesBrazil #windenergyBrazil Photo by Vitor Paladini on Unsplash",19,0,Ping,6mo,2022-06-07
Technology business ONYX Insight which specialises in monitoring wind turbines recently undertook some research in North America which found that unmonitored components of a wind turbine account for over 50% of lost energy. The greatest cause of downtime from unmonitored components is blades.#windenergy #windturbine #pingmonitor #renewableenergy #energyefficiency #pingmonitor,24,0,Ping,7mo,2022-06-07
"Meet the team: Our co-founder and CEO Matthew Stead has spent his whole career to date working in acoustics, travelling the world to channel this experience in sites as diverse as underground mines, helicopters to electron microscope facilities. He's founded or co-founded five successful businesses, in Australia, and Europe. Matthew lives in Adelaide with his wife and two children and his spare time enjoys road cycling. He's also currently converting a 1970s BMW 2002 into an electric vehicle which should be on the road in 2022!#windenergy #windturbine #pingmonitor #renewableenergy #energyefficiency #southaustralia #adelaide #LotFourteen #RenewablesAustralia",77,0,Ping,7mo,2022-06-07
"We worked with Offshore Renewable Energy Catapult on a piece of research to identify the real quantitative benefits of installing a Ping Monitor on an offshore wind farm. It concluded that as a result of the reduced requirement for repairs or blade replacement, Ping’s installation equates to an annual savings range from US$13,833 to US $26,187 per year (Catapult, 2021)Photo by Nicholas Doherty on Unsplash",17,0,Ping,7mo,2022-06-07
"We've just installed the first of our monitors in Ireland. There are just over 300 wind farms in the Republic of Ireland with a capacity of 4,309 MW, the third highest per capita in the world.#windenergy #windturbine #pingmonitor #renewableenergy #energyefficiency #pingmonitor #renewableenergyireland #renewablesEU",24,0,Ping,7mo,2022-06-07
"Our recent research with Wood Mackenzie Power & Renewables  not only quantified the average anticipated reduction in repair cost, if Ping Monitors are installed on a wind turbine, but also estimated the saving in monetary terms. For a typical 100MW wind farm, the benefit could range from $31,850 to $121,000 per year based on the damage (health) level of the turbine blades.#windenergy #windturbine #pingmonitor #renewableenergy #energyefficiency #pingmonitor Photo by Dimitry Anikin on Unsplash",15,0,Ping,7mo,2022-06-07
Ping is looking for a technician in the USA and Europe to help us further support our local customers. Please email info@ping.services if you would like to help - as required - with servicing our electronics for scheduled maintenance.,3,0,Ping,8mo,2022-06-07
"Next week, Global Wind Energy Council (GWEC)  will release the Global Wind Energy Manifesto for COP26 - UN Climate Change Conference.  We at Ping Services are proud to support this important effort to scale up wind to new heights and safeguard our planet for future generations. #InWithWind#InWithWind #WindAreYouIn #windenergy #climatechange #COP26 #GlobalWindEnergyCouncil #ClimateEmergency",5,0,Ping,8mo,2022-06-07
"At Ping, we utilise LTE-M tech (low-power IoT technology) to monitor our systems and report back data in real time, which can be analysed simply via our cloud-based platform. LTE-M tech is particularly useful due to its wide coverage in rural settings, including demanding environments like off-shore sites.#windenergy #windturbine #cloudtechnology #renewableenergy #energyefficiency #ltemtechnology",11,0,Ping,8mo,2022-06-07
"Meet Jon: Jon is our co-founder and CTO, responsible for overseeing all the technology elements of a Ping Monitor system – monitoring acoustics to identify damage, and communicate this in real time to a cloud-based dashboard at our clients’ fingertips. Jon has authored multiple papers on wind turbine noise generation, detection and propagation and has developed several algorithms for the assessment of environmental wind turbine noise which have been recognised internationally. Jon lives in Adelaide and in his spare time you'll find him busy with landscape photography, hiking and woodwork. He's currently combining all three by framing a collection of his own photos taken while hiking.#windenergy #windturbine #pingmonitor #renewableenergy #energyefficiency #acousticmonitoring #southaustralia #adelaide #lotfourteen",36,0,Ping,8mo,2022-06-07
"The wind energy industry is constantly evolving, and many key players are undertaking research to improve efficiencies across all aspects. We are currently working with partners in the UK 🇬🇧 and Canada 🇨🇦 on two research projects; firstly to understand better noise curtailment and secondly to investigate ice build-up on rotor blades. It's rewarding to work with partners across the world who support our philosophy of innovation to advance sustainability in energy.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #energyefficiencyPhoto by Lina N. on Unsplash",9,0,Ping,8mo,2022-06-07
"Visual Capitalist recently developed this infographic to illustrate the predicted 20 fastest growing and declining jobs in the US over the next decade. Using US Bureau of Labor Statistics data, it found that Wind Turbine Service Technicians will experience over 68% employment growth from 2020-2030, proportionately higher than any other occupation. As our industry grows, more employment opportunities will open up in order to meet the demand for wind power globally, and ensure maximum efficiency of delivery.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #visualcapitalist #jobsgrowth #jobsrenewableenergy",19,0,Ping,9mo,2022-06-07
We've recently shipped an order of Ping Montors to a site in the US. These will monitor within 30 blades on turbines at a site in the MidWest. The systems will monitor for structural and internal damage in the root zone.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #energyefficiency,25,0,Ping,9mo,2022-06-07
"Last week, we found out we were a finalist in the Premier's Export awards which showcase 'South Australian exporters with remarkable capabilities to the world'.It was a privilege to be in a room surrounded by so many South Australian businesses doing great things internationally with their products and services. Congrats to all the finalists and winners!#amazingsouthaus #exporters #exportawards #pingservices",43,0,Ping,9mo,2022-06-07
"Last year, we worked with Woods Mackenzie on a piece of research to identify the quantitative benefits of installing a Ping Monitor on a wind turbine blade. It found that the installation of a monitor led to a 25% reduction in blade repair cost and that 30% blade replacement can be avoided if failure can be detected and repaired between annual inspection. For those with numerous turbines, these savings in efficiency can be highly significant.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #energyefficiency Photo by Aiden Guinnip on Unsplash",13,0,Ping,9mo,2022-06-07
We've recently installed Ping Monitors on an off-shore site in Europe which is 40km from shore. This is significant for us - it shows that the technology we use can be used on the growing offshore wind farms. This significantly increases the number of sites that would benefit from Ping Monitors across the world - do get in touch if you work with wind turbine sites far from land and want to find out more.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #energyefficiency #offshorewindPhoto by Nicholas Doherty on Unsplash,26,0,Ping,9mo,2022-06-07
"Welcome to the newest member of our team, Jason Turner. Jason is our new Customer Services Manager, working from our office here in Adelaide. He brings with him years of expertise in the consulting sector and will be looking after all our existing and prospective clients, ensuring they have a seamless experience that suits their bespoke needs.#teamwork #PingMonitor #renewableenergy #adelaide #IChooseSA",65,0,Ping,9mo,2022-06-07
"Historically, damage to wind turbine blades would only be identified via inspections every 6, 12, 24 or 36 months, usually carried out via drones and ground-based cameras. This approach may be sufficient when damage propagates slowly. However, most unscheduled expensive blade corrective actions happen between blade inspections and are due to a sudden and accelerated deterioration of known minor defects or rapid propagation of new damages. Ping Monitors use acoustic sensing to identify damage, as soon as it occurs, ensuring you can act fast to limit consequences.#bladeengineer #windenergy #windturbine #engineering #engineers #renewableenergy #energyefficiency",33,0,Ping,9mo,2022-06-07
