company,post_time,date_retrived,post,reaction_count,repost_text,repost
Andy Thomas Space Foundation,9mo,2022-06-06,none,3,"I'm looking forward to a discussion on ""Re-imagining the social, environmental and economic opportunities enabled by earth observation technologies"" alongside an expert panel at the 12th Australian Space Forum tomorrow.Like #space itself, the opportunities for innovation with space and Earth data are vast and endless. I'll be talking about how #awscloud allows the #earthobservation sector to design, build and operate missions at speed, at cost and more securely, while tapping into a broader community of specialists; data scientists, solution architects, #sustainability champions, scientists, engineers - all of who come together to drive meaningful change. But I'm equally excited and looking forward to learning from my highly experienced & accomplished panel members.With many thanks to the Australian Space Agency, South Australian Space Industry Centre, The Andy Thomas Space Foundation and SmartSat CRC  who continue to provide opportunities to stimulate ideas, share information about emerging technologies and network with space sector leaders despite covid19 restrictions.If you haven't yet registered for the south australian space forum - go do it now! :) I'm dropping the registration link in comments. And a bunch of information on AWS and Earth Observation:Earth on AWS: https://lnkd.in/gjjw-KJAAWS and Space https://lnkd.in/gb59SBXqAWS Ground station: https://lnkd.in/gW79qVzGAmazon data sustainability initiative https://lnkd.in/gC7NzWre#auSpaceForum",1
Andy Thomas Space Foundation,9mo,2022-06-06,We’re thrilled you could join us & enjoyed the event so much Chelsea! #AUSpaceForum,7,"Today I had the privilege of attending the 12th Australian Space Forum, hosted by The Andy Thomas Space Foundation.The event was an incredible showcase of Space Industry collaboration, innovation, research and entrepreneurial development. It was great to see a genuine focus on diversity and accessibility as the industry continues to develop.With Adelaide being home to the Australian Space Agency and over 80 space-related organisations, SA is well and truly the national hub of Australia’s space industry! 🚀✨#AuSpaceForum #HereAtAWS #AustralianSpaceForum #Space #SouthAustralia #Adelaide",1
Andy Thomas Space Foundation,9mo,2022-06-06,Thank you Neumann Space! It was great to have you at the 12th Australian Space Forum 🚀,0,Come visit Neumann Space and learn more about our #plasma #propulsion system!,1
Andy Thomas Space Foundation,9mo,2022-06-06,none,7,"Great to be at the 12th Australian Space Forum in Adelaide to hear about building Australian expertise and capability. Huge opportunities abound to reimagine how systems thinkers can dive into solving problems both on Earth and in space. While I appreciate the opportunity to be here in person, I know many colleagues are tuning in from interstate and overseas to continue to grow the #spaceindustry.#AUSpaceForum #systemsthinking",1
Andy Thomas Space Foundation,9mo,2022-06-06,none,9,"T Minus 7 days until the 12th Australian Space Forum! ✨The team at The Andy Thomas Space Foundation have been working hard to ensure a fantastic presentation of Australia’s space innovations and achievements for both in-person and virtual attendees. With a star-studded line-up of keynote speakers, including:🇦🇺 Enrico Palermo: Head of the Australian Space Agency🇺🇸 Pamela Melroy: Deputy Administrator of NASA - National Aeronautics and Space Administration 🇳🇿 Andrew Johnson:  Deputy Head of the New Zealand Space agency👩‍🚀Dr Shannon Walker: NASA Astronaut in conversation with popular journalist and author, Tory Shepherd And 3 incredible panels touching on the below topics:🛰️Moving from CubeSats to larger satellites – building Australian expertise and capability🔭Reimagining the social, environmental and economic opportunities enabled by earth observation technologies🚀On earth and off-earth remote operations, in the context of human exploration as well as applications right here on EarthThe forum will be lively with insightful and ground-breaking technological advancements!🎟️If you have not yet registered to attend, click here: https://bit.ly/3jNPBrj 📖To view the program, click here: https://bit.ly/3DTwJiG #AUSpaceForum #spaceindustry #innovation #technology #spacetech #space #nasa #newzealand #stem #science #sustainability #environmental #engineering",1
Andy Thomas Space Foundation,9mo,2022-06-06,none,6,"Time is running out to register and secure your place at the 12th Australian Space Forum on Wednesday 15 September! ⏰This is your opportunity to connect with over 500 in-person and virtual delegates, as well as more than 50 exciting #space organisations. You will not want to miss out. Early bird rates have also been extended, so visit The Andy Thomas Space Foundation website and secure your place now. 👉https://bit.ly/3yX1LTP#spaceindustry #ausspaceforum #saspace",1
Andy Thomas Space Foundation,9mo,2022-06-06,none,7,"The 12th Australian Space Forum, hosted by the The Andy Thomas Space Foundation, is now underway in Adelaide, South Australia.It was fantastic to attend this morning's opening event and connect with space tech companies and innovators, and hold a satellite that has been designed and built for space. If you haven't already, do check out the program and brilliant line up of speakers: https://lnkd.in/gfi6dSvQAlso, a huge congratulations to FINDON HIGH SCHOOL for winning the name rights for Australia's first state satellite - to be known as Kanyini. Very exciting news for the Year 11 students! With Adelaide home to the Australian Space Agency and over 80 space companies, we're further cementing ourselves as the home to the space sector in Australia. John Gardner Nicola Sasanelli AM Andy Koronios#amazingsouthaus #spaceindustry",1
Apxium,2mo,2022-06-06,"Thank you, Accounting Business Expo for the post. We’re really looking forward to engaging with the community on the day, sharing some insights, and showcasing some of our exciting payments tech for accounting firms.",12,"Apxium joins Accounting Business Expo as an Exhibitor. To view the full list of exhibitors, click here https://bit.ly/3DesZsh and register now for FREE",1
Artesian Capital Management,1w,2022-06-06,none,7,The GrainInnovate VC investment portfolio now includes 19 high growth #agtech startups delivering innovation for the Australian grains industry across sectors including farm #connectivity #farmtech #supplychain #biotech #decisionintelligence #fintech #climate #sustainability. The companies include Fleet Space Technologies Zetifi BioScout Alterratech Growave SwarmFarm Robotics ZoomAgri TeleSense ISD - Intelligent System Design Sustinent Pty Ltd. Loam Bio FarmLab Verge Agriculture DataFarming (Australia) Regrow Ag Pairtree Intelligence Laconik Hillridge Technology Agtuary Grains Research and Development Corporation Robert Williams Shane M. Fernando Felquer Ron Osmond Artesian (Alternative Investments) Nigel Hart,1
Artesian Capital Management,1w,2022-06-06,none,200,"Congratulations to team Regrow Ag  and founder Anastasia Volkova, PhD on new $50M cap raise with Marc Benioff TimeVentures Tom Steyer Galvanize Climate Solutions LLC Rethink Impact, LP Artesian (Alternative Investments) https://lnkd.in/dcHi9X5X",1
Artesian Capital Management,2w,2022-06-06,none,2,"And that’s a wrap…! Closing up Day 3 of the #futureofeverything festival with The Wall Street Journal, listening to entrepreneurs & innovators reshaping their industries - loving the sustainability/social themes this year,  particularly Neri Oxman’s talk on #biomaterial buildings & designing products as ecosystems  #tech #vc #startups OXMAN Artesian (Alternative Investments)",1
Artesian Capital Management,3w,2022-06-06,none,3,"GrainInnovate is very pleased to have co-invested with Artesian (Alternative Investments) and Uniseed into #agtech startup BioScout  BioScout has developed a device which picks up disease pathogens in crops and indicates the ‘disease load’ across the field in real-time, enabling an early warning system for farmers where yield loss is high. BioScout’s technology utilises tried and tested methods of #croppathology and #aerobiology but brings modern technology such as #robotics and #computervision to automate the processes that have limited pathology to the scientific realm. BioScout is uniquely positioned within the global competitive landscape, offering a solution that is faster, cheaper and in many cases as accurate as manual, lab-linked samplers, and with greater capability than existing remote sensing & model-based approaches that rely on weather station data. https://lnkd.in/gkRAsVaK #agriculturetechnology Grains Research and Development Corporation",1
Artesian Capital Management,1mo,2022-06-06,none,0,"Great to hear Artesian (Alternative Investments) get a mention in Livewire's recent ""Walk the talk: 12 funds and 3 stocks to go green"" discussion with Angela Ashton and Andrew McAuley, hosted by Ally Selby. Special thanks to Angela Ashton and her kind words regarding Artesian (Alternative Investments)'s green bond capability. #greenbonds #impactinvesting #sustainablefinance #esg",1
Artesian Capital Management,1mo,2022-06-06,none,2,"💥💥A LITTLE MILESTONE: We proudly announce our US $2M investment round co-led by SOSV and Net Insurance, with participation from ParticleX, Artesian (Alternative Investments), AI Startup Incubator, EXCON Services, Global Insurance AcceleratorThanks to all the partners, legal teams, investors and our amazing MotionsCloud team to make this possible💙Check out the featured news for more details. (Links in the comments).📣#pressrelease #MotionsCloud #techeu #insurtech #automation #AI #innovation #computervision #insuranceMingles Tsoi Jessie T. SOSV MOX Chinaccelerator 中国加速 Fabio Pittana Rossella Vignoletti Oscar Ramos Angelo Burgarello Martin Havlík, PMP SpinLab - The HHL Accelerator",1
Artesian Capital Management,2mo,2022-06-06,none,4,"The Impact Investment Summit Asia Pacific is live and in-person today! The team will be listening to 120+ thought leaders, explore pioneering themes during the Festival of Impact.The Summit is in action from 28th March to the 1st April, held at the ICC Sydney. At 11:45am, our very own Jessica Mendoza-Roth will be discussing what is driving the expansion of impact in Venture Capital in a panel alongside Alex Oppes  from Social Ventures Australia, Kristin Vaughan from Virescent Ventures, Dr Michelle Deaker from OneVentures, and Vicky Lay from Artesian (Alternative Investments). #impactinvesting #venturecapital",1
Artesian Capital Management,1mo,2022-06-06,none,8,"In anticipation of #EarthDay 🌏 this week, a throwback to earlier in the month when Artesian Partner Matthew Clunies-Ross hosted our #Impactinvesting & #ESG trends event in #Melbourne, highlighting our unique Australian Green & Sustainable Bond Fund offering(https://lnkd.in/grs4Q_J)#greenbonds #netzeroemissions #climateaction Mei Lee Tim Heasley David Gallagher John McCartney Rohan Gray Stephen Good Kirsten Bernhardt Artesian (Alternative Investments) Dilshi Welaratne Pankaj Khanna Mark Bytheway",1
Artesian Capital Management,1mo,2022-06-06,none,7,"Great to invest in Verge Agriculture $7.5M Series A with Yamaha Motor Ventures & Laboratory Silicon Valley, Inc.  & Laboratory Silicon Valley, Inc Fall Line Capital Artesian (Alternative Investments) SP Ventures Verge’s #AI-powered software enables farmers to plan, simulate, & validate the movement of equipment in the field & execute field operations efficiently #precisionagriculture #agtech #agriculture https://lnkd.in/gHVV-xhC",1
Artesian Capital Management,1mo,2022-06-06,none,3,"Innovation runs in our blood, with plans to accelerate growth in the NFT space, with expansion into Web3! Our M.D Con Raso shares Tuned Global's exciting plans with Music Business Worldwide (MBW).From our early days as an Australia-based startup, to our accelerated 80% year-on-year growth in the global B2B sector, we don't plan on slowing down anytime soon!""For rightsholders, Web3 is an opportunity for extraordinary growth, if done properly. User generated content, live events and back catalog opportunities in Web3 are immense. We really value our relationships with the labels and publishers and we’re exploring some exciting Web3 opportunities with some of them,"" Con Raso.Read the full interview: https://lnkd.in/gBTGrvDR#Web3 #NFT #NFTs #Metaverse #musictechnology #musictech #musicstreaming #streaming #musicindustry #musicbusiness #musicbiz #musictechnology #musicbackend #whitelabelapp #tunedglobal #streamingapp",1
Artesian Capital Management,2mo,2022-06-06,none,4,Artesian Singapore office is #hiring. Know anyone who might be interested? Artesian (Alternative Investments) #Singapore #jobopportunity,1
Artesian Capital Management,2mo,2022-06-06,none,5,"Artesian's Boab AI portfolio company LYRO Robotics Director Nicole Robinson, spoke about how they're creating the brain, the eyes, and the hands for the next generation of intelligent robots at the Antipodean Capital / Artesian (Alternative Investments)' Future of Investing event. QUT Centre for Robotics Monash University Artesian (Alternative Investments) #Deeptech #womenintech #robotics #robots #investments",1
Artesian Capital Management,2mo,2022-06-06,Congratulations to all the team at Instaclustr,0,"We are extremely proud to share that NetApp has signed a definitive agreement to acquire Instaclustr!  “The acquisition of Instaclustr will combine NetApp’s established leadership in continuous storage and compute optimization with Instaclustr’s fully-managed database and data pipeline services to give customers a Cloud Operations platform that provides the best and most optimized foundation for their applications in the public clouds and on premises,” ​​George Kurian, CEO at NetApp.We are looking forward to the future ahead as part of the Spot by NetApp team! https://lnkd.in/g7-xG6Qb",1
Artesian Capital Management,2mo,2022-06-06,none,15,"So excited to share that I joined the Artesian (Alternative Investments) investment team this week, to combine my two passions: startups and elevating women! I’ll be primarily supporting our new $100m Female Leaders Fund which exclusively targets high-growth, women-led ventures in APAC. Stoked to be back in the Aussie startup scene, and looking forward to connecting with female founders in particular! Feel free to reach out if you're thinking of raising, have questions on our Female Leaders Fund or just want to chat :)",1
Artesian Capital Management,2mo,2022-06-06,none,2,"Co-founder James Baker, a veteran construction project manager, along with co-founders Siddhant (Sid) Shrestha and former Aconex strategic partnerships lead Ofer Assor, designed Varicon for smartphones to help reduce financial risk and simplify on-site cost management. Black Nova, Galileo Ventures Artesian (Alternative Investments), Josh Slattery, Tidal Ventures Murray Bleach, Leigh Jasper, #construction #investments #founders #management #tasmania#startups #startupaus",1
Artesian Capital Management,3mo,2022-06-06,none,10,"A child of refugees, Vicky Lay went to college, started a company, raised VC funding, and now is on the other side of the table as a Partner and Head of Impact Investing at Artesian (Alternative Investments). She leads gender equality efforts there, including a new $100 million female founders fund for women-led companies in the Asia-Pacific region. She also founded an NGO, SheSyndicate, to support women's equality. ""There are so many barriers to taking a seat at the table,"" she said, and she is committed to breaking them down. #IWD2022 #genderequality #femalefounders #investinginwomen",1
Artesian Capital Management,1mo,2022-06-06,none,15,Overview of the Female Leaders VC Fund Artesian (Alternative Investments)Scale Investors Ltd #venturecapital #asiapacific #genderlens #femalefounders #impactinvesting,1
Artesian Capital Management,2mo,2022-06-06,none,3,"Ran into some very🙌 friendly faces at the  Impact Investment Summit Asia Pacific  today… fellow impact investors/practioners 🌏🇦🇺💰 Lisa Siganto,  Neeraj Aggarwal  & Caitlin James from Australian Impact Investments (look forward to hearing Kylie Charlton speak tomorrow), Queenie Tran from Conscious Investment Management,  John Treadgold (#GoodFuturePod) & Artesian (Alternative Investments)’ impact focused portfolio company Seer Data & Analytics (just missed their amazing SHE-EO Kristi Mansfield at their booth!)",1
Artesian Capital Management,3mo,2022-06-06,Thank you to ASX for inviting Female Leaders VC Fund PM Alexandra Clunies-Ross to ring the bell this morning for #iwd2022  and participate in panel:  “How do we increase the share of #VC/early-stage capital going to women-led businesses”,50,"ASX was delighted to celebrate International Women’s day with a market open bell ringing, along with a panel discussion for the “Gender equality today for a sustainable tomorrow” campaign.  This morning’s occasion marked the 8th annual Bell Ringing for Gender Equality at ASX.  Thank you to our host, CEO Dominic Stevens, panel moderator Chief Compliance Officer Janine Ryan, Alexandra Clunies-Ross from Artesian (Alternative Investments), Ian Gardiner from Jelix Ventures / Innovation Bay, Karen Chan from Perennial Partners, with closing remarks from Daphne van der Oord from S&P Dow Jones Indices. #ASX #iwd2022 #WFE #venturecapital #genderequality",1
Artesian Capital Management,3mo,2022-06-06,none,4,"The exciting journey is just getting started, congratulations one of our most recent portfolio companies- Zeta Surgical on coming out of stealth and announcing their $5.2M seed round.  The round led by Innospark Ventures and with the participation of Y Combinator, Emles Venture Partners, Artesian (Alternative Investments), ParticleX, Reinforced Ventures. #surgicalrobotics #healthcare #medicaldevices",1
Artesian Capital Management,3mo,2022-06-06,none,1,"Globally, about a third of all businesses are owned by women. Yet men are more likely to borrow and save to start, operate and expand businesses than women. It has never been more important to invest in women. On this International Women’s Day 2022, join the United Nations Capital Development Fund (UNCDF), Avenue Capital Group, UNDP, Rethink Impact, LP, Artesian (Alternative Investments) Capital and Morgan Stanley to explore how international organizations, banks, and venture capital funds are reaching and supporting female entrepreneurs around the world.Panelists will include: Ulrika Modeer, Anita Bhatia, Sonia Gardner, Dingi Chirwa, Jenny Abramson, Charulata Singal, Vicky Lay, Esther Pan Sloane & Sharon CunninghamRegistration link belowhttps://lnkd.in/dMyQbPA2",1
