index,link,tech,person,nationality,building,organization,country,location,product,event,money,date_
10,https://www.proquest.com/anznews/docview/2457763571/181AD976D1DF4FFBPQ/11?accountid=14649,neuroplasticity,"witcher, gemene heffernan smith, mabel, louise sherwin stark, dervla mctiernan, mctiernan, helena popovic, andy griffiths, peter helliar, dr helena popovic","australians, australia, australian",,"nielsen bookscan australia, australia reads, australiareads org au",,,,,,"Nov 6, 2020"
11,https://www.proquest.com/anznews/docview/2619027415/181AD976D1DF4FFBPQ/12?accountid=14649,neuroplasticity,"selena bartlett, bartlett, donna mcgeorge, mcgeorge",,,,,,,the covid pandemic,,"Jan 13, 2022"
12,https://www.proquest.com/anznews/docview/2488319489/181AD976D1DF4FFBPQ/13?accountid=14649,neuroplasticity,"andrew twiggy forrest, forrest, nicola",australians,mount lofty walking track,"csiro, minderoo foundation, noplasticwaste org",,"lord howe island, australia, antarctica, the mariana trench",,,more than  billion,"Feb 13, 2021"
13,https://www.proquest.com/anznews/docview/2458202638/181AD976D1DF4FFBPQ/14?accountid=14649,neuroplasticity,"claire aristides, aristides, georgia foster, foster",,,,,,,,,"Nov 8, 2020"
14,https://www.proquest.com/anznews/docview/2561156498/181AD976D1DF4FFBPQ/15?accountid=14649,neuroplasticity,"mick mcguane, glenn mcfarlane, daniel venables, peter, daniel, joanne, peter venables, ashlee, josh, dan, serge, vozz, koby stevens, brett jarosz, mick, brayden maynard, mcguane",,,"afl, the west coast eagles","keilor, melbourne",west coast,,grand final,,"Aug 15, 2021"
15,https://www.proquest.com/anznews/docview/2561127646/181AD976D1DF4FFBPQ/16?accountid=14649,neuroplasticity,"mick mcguane, glenn mcfarlane, daniel venables, peter, daniel, joanne, peter venables, ashlee, josh, dan, serge, vozz, koby stevens, brett jarosz, mick, brayden maynard, mcguane",,,"afl, the west coast eagles","keilor, melbourne",west coast,,grand final,,"Aug 15, 2021"
16,https://www.proquest.com/anznews/docview/2563232017/181AD976D1DF4FFBPQ/17?accountid=14649,neuroplasticity,"tara moss, t ara moss, moss, lorimer moseley, moseley, wolfie, sapphira, tara, lynita clark",australians,,"unicef, painaustralia, the university of south australia, painaustralia org au",,,,,,"Aug 22, 2021"
17,https://www.proquest.com/anznews/docview/2563222094/181AD976D1DF4FFBPQ/18?accountid=14649,neuroplasticity,"tara moss, moss, lorimer moseley, moseley, wolfie, sapphira, tara, lynita clark",australians,,"unicef, painaustralia, the university of south australia",,,,,,"Aug 22, 2021"
18,https://www.proquest.com/anznews/docview/2563231688/181AD976D1DF4FFBPQ/19?accountid=14649,neuroplasticity,"tara moss, moss, lorimer moseley, moseley, wolfie, sapphira, tara, lynita clark",australians,,"unicef, painaustralia, the university of south australia, painaustralia org au",,,,,,"Aug 22, 2021"
19,https://www.proquest.com/anznews/docview/2196495593/181AD976D1DF4FFBPQ/20?accountid=14649,neuroplasticity,"lydia griffiths, griffiths, kelly, michelle byrne, heather frahn, frahn, byrne, karen zaskolny, zaskolny, dave",,"kingston house, kingston park choir",the wellbeing and resilience centre,,,,,,"Mar 24, 2019"
20,https://www.proquest.com/anznews/docview/2331883342/181AD976D1DF4FFBPQ/21?accountid=14649,neuroplasticity,"emma, lauren, victoria, victoria moularadellis",,,"kingston estate s, mo sisters, adelaide university, seymour college, the australian olympic committee, wilderness school","us, australia",,,sports day,,"Jan 3, 2020"
21,https://www.proquest.com/anznews/docview/2333696167/181AD976D1DF4FFBPQ/22?accountid=14649,neuroplasticity,"emma, lauren, victoria",,,"kingston estate s, mo sisters, adelaide university, seymour college, the australian olympic committee","us, australia",,,sports day,,"Jan 8, 2020"
22,https://www.proquest.com/anznews/docview/2208848386/181AD976D1DF4FFBPQ/23?accountid=14649,neuroplasticity,"kate gregorevic, matthew walker, allie peters",australian,,"the university of adelaide, the three seas group, royal melbourne hospital",,,,,,"Apr 14, 2019"
23,https://www.proquest.com/anznews/docview/2210649653/181AD976D1DF4FFBPQ/24?accountid=14649,neuroplasticity,"janette crowe, wal, doreen crowe, magenta, desmond jones, etienne decroux, janette, aldo gennaro, bill brown, jake, bill, django, kade",,kameruka hall,"the riverina college of advanced education, charles sturt university, the riverina trucking company s, the canberra youth theatre, the jigsaw theatre company, abc tv, tafe, the university of melbourne, the stonewave taiko japanese drumming group","uranquinty nsw, wagga wagga, wagga, paris, australia, canberra, sydney adelaide, melbourne, bega valley, tanja, ireland","riverina, europe, the bega valley",,,,"Apr 18, 2019"
24,https://www.proquest.com/anznews/docview/2313673068/181AD976D1DF4FFBPQ/25?accountid=14649,neuroplasticity,deepak chopra,,,,findon,the bermuda triangle,,,,"Nov 13, 2019"
25,https://www.proquest.com/anznews/docview/2385752206/181AD976D1DF4FFBPQ/26?accountid=14649,neuroplasticity,"tim spurdens, jeff scholefield, elizabeth vale, steven marshall, peter malinauskas, brendan walker, maureen goldie blackwood, scott morrison, alan joyce, jude hines","south australian, south australians, asian","modbury hospital, rue vogiatz norwood",,"adelaide, melbourne, australia",,maria deieso paradise lesson variety,"world war ii, pandemic",,"Apr 4, 2020"
26,https://www.proquest.com/anznews/docview/2240638061/181AD976D1DF4FFBPQ/27?accountid=14649,neuroplasticity,"david mclaughlin, catherine pittman, pittman",australians,,harvard university,,,,,,"Jun 16, 2019"
27,https://www.proquest.com/anznews/docview/2659294708/9231A75FC71C4F75PQ/1?accountid=14649,aerospace engineering,"jaidyn willis, samantha march, jaidyn, murraylands, thomas playford, brown",norwegian,,"the playford trust, the andy thomas space foundation, the university of adelaide, the dirt",south australia s,australia,,,,"May 5, 2022"
28,https://www.proquest.com/anznews/docview/2658276823/9231A75FC71C4F75PQ/2?accountid=14649,aerospace engineering,"jaidyn willis, samantha march, jaidyn, murraylands, thomas playford, brown",norwegian,,"the playford trust, the andy thomas space foundation, the university of adelaide, the dirt, tafe",south australia s,australia,,,,"May 3, 2022"
29,https://www.proquest.com/anznews/docview/2673643378/9231A75FC71C4F75PQ/3?accountid=14649,aerospace engineering,"greg horner, fritz zweigelt, larry jacobs, marc dobson, larry, marc, greg, katrina, lily, maya, kali, luka, louise warner, peter hall, penfolds, horners, marc dobson s","german, blaufrankisch, south african","hahndorf hill vineyard, the mount bera amphitheatre zweigelt","royal australian navy, wonthaggi high school","adelaide hills, austria, hungary, germany, czech republic, slovakia, klosterneuberg, mount bera s, australia, victoria, uk, mount bera, newcastle, lake macquarie","mount bera, adelaide hills",gruner veltliner plantings,,,"Jun 8, 2022"
30,https://www.proquest.com/anznews/docview/2674043797/9231A75FC71C4F75PQ/4?accountid=14649,aerospace engineering,"greg horner, fritz zweigelt, larry jacobs, marc dobson, larry, marc, greg, katrina, lily, maya, kali, luka, louise warner, peter hall, penfolds, horners, marc dobson s","german, blaufrankisch, south african","hahndorf hill vineyard, the mount bera amphitheatre zweigelt","royal australian navy, wonthaggi high school","adelaide hills, austria, hungary, germany, czech republic, slovakia, klosterneuberg, mount bera s, australia, victoria, uk, mount bera, newcastle, lake macquarie","mount bera, adelaide hills",gruner veltliner plantings,,,"Jun 9, 2022"
31,https://www.proquest.com/anznews/docview/2674043490/9231A75FC71C4F75PQ/5?accountid=14649,aerospace engineering,"greg horner, fritz zweigelt, larry jacobs, marc dobson, larry, marc, greg, katrina, lily, maya, kali, luka, louise warner, peter hall, penfolds, horners, marc dobson s","german, blaufrankisch, south african","hahndorf hill vineyard, the mount bera amphitheatre zweigelt","royal australian navy, wonthaggi high school","adelaide hills, austria, hungary, germany, czech republic, slovakia, klosterneuberg, mount bera s, australia, victoria, uk, mount bera, newcastle, lake macquarie","mount bera, adelaide hills",gruner veltliner plantings,,,"Jun 9, 2022"
32,https://www.proquest.com/anznews/docview/2653420256/9231A75FC71C4F75PQ/6?accountid=14649,aerospace engineering,"anika molesworth, molesworth, shalise leesfield, shalise leesfield s, leesfield, philippe cousteau, jacques yves cousteau, sylvia earle, nic cooper, melbourne wam, cooper, shanti raka, bali, covid, ashleigh morris, jaine morris, ashleigh right, ashleigh, jaine, ash, rio tinto, naive idealism, dan adams s, pearl jam, kevin rudd, chris thompson, adams, thompson, angel owen, owen, wagamdagam kungarakun man tipasa pearson, tipasa, euleilah, carmen da silva, julian beaman, adelaide, da silva, beaman, the david attenboroughs, steve irwins, sam elsom, zac efron, efron, elsom, simon griffiths, griffiths, jehan ratnatunga, ratnatunga, danny alexander, mcafee, perth","nsw, australian, uk, balinese, canadian, tasmanian",,"nsw, earthecho international youth in action, environmental protection authority, shalise s ocean support, wam, university of new south wales, usc, lendlease, coreo, monash university, boston consulting group, first nations, seed indigenous youth climate network, seed australia s, first nations led, flinders university, university of queensland, netflix, sea forest, csiro, wateraid, sydney s macquarie university, university of adelaide","melbourne, australia, port macquarie, hawaii, newtown, indonesia, st kilda, sa, victoria, beaman, triabunna pop approx, hollywood, queensland, triabunna, tasmania, united states, united kingdom, adelaide","far west nsw, the nsw mid north coast, lake cathie, coffs harbour, the mornington peninsula, mornington island, the gulf of carpentaria, twin waters, sunshine coast, south australia, creek, flinders kangaroo island, sea forest s",,"the parley ocean uprise youth summit, the luminosity youth summit",,"Apr 22, 2022"
33,https://www.proquest.com/anznews/docview/2704752961/9231A75FC71C4F75PQ/7?accountid=14649,aerospace engineering,"erin bachynski, nataliia sergiienko, boyin ding, erin bachynski poli, dr boyin ding",,,"the norwegian university of science and technology, the university of adelaide nataliia, the university of adelaide, norwegian university of science and technology, the department of marine technology norwegian university of science and technology ntnu, the university of michigan, ntnu, sintef, university of adelaide, the school of mechanical engineering the university of adelaide, the national technical university of ukraine kyiv ukraine, the university of adelaide adelaide sa australia, the faculty of sciences engineering and technology",erin,europe,,,,"Aug 19, 2022"
34,https://www.proquest.com/anznews/docview/2651919154/9231A75FC71C4F75PQ/8?accountid=14649,aerospace engineering,"simon griffiths, griffiths, jehan ratnatunga, ratnatunga, danny alexander, frances whiting, shalise leesfield, shalise leesfield s, leesfield, philippe cousteau, jacques yves cousteau, sylvia earle, elissa lawrence, dominic mcafee, perth, mcafee, leanne edmistone, angel owen, owen, wagamdagamkungarakun man tipasa pearson, tipasa, euleilah  owen, dan adams, dan adams s, pearl jam, kevin rudd, chris thompson, adams, thompson, sam elsom, zac efron, efron, elsom, carmen da silva, julian beaman, adelaide, da silva, beaman, the david attenboroughs, steve irwins, ashleigh morris, jaine morris, ashleigh right, ashleigh, jaine, ash, rio tinto, bhp elissa lawrence, anika molesworth, molesworth, nic cooper, cooper, shanti raka, covid","australian, european, tasmanian, canadian, uk, balinese",,"the university of melbourne, wateraid, earthecho international youth in action, environmental protection authority, shalise s ocean support, macquarie university, university of adelaide, first nations, seed indigenous youth climate network, first nations led, monash university, boston consulting group, netflix, sea forest, csiro, the sea forest project, flinders university, university of queensland, university of new south wales, usc, lendlease, coreo, farmers for climate action, wam","melbourne, united states, united kingdom, port macquarie, australia, hawaii, nsw, newtown sydney, adelaide, sydney, st kilda, triabunna pop approx, hollywood, triabunna, tasmania, elsom, frances, sa, victoria, beaman, indonesia, queensland s, bali","europe, the nsw mid north coast, lake cathie, coffs harbour, glenelg reef, creek, flinders kangaroo island, mornington island, the gulf of carpentaria, twin waters, sunshine coast, broken hill, far west nsw, australia, the mornington peninsula",,"the parley ocean uprise youth summit, the luminosity youth summit",,"Apr 23, 2022"
35,https://www.proquest.com/anznews/docview/2653007274/9231A75FC71C4F75PQ/9?accountid=14649,aerospace engineering,"simon griffiths, griffiths, jehan ratnatunga, ratnatunga, danny alexander, frances whiting, shalise leesfield, shalise leesfield s, leesfield, philippe cousteau, jacques yves cousteau, sylvia earle, elissa lawrence, dr dominic mcafee, perth, mcafee, leanne edmistone, butchulla woppaburra, angel owen, owen, wagamdagam kungarakun man tipasa pearson, tipasa, euleilah  owen, dan adams s, pearl jam, kevin rudd, chris thompson, adams, thompson, julian beaman, carmen da silva, da silva, beaman, the david attenboroughs, steve irwins, zac efron, efron, sam elsom, elsom, anika molesworth, molesworth, melbourne wam, cooper, shanti raka, covid, ashleigh morris, jaine morris, ashleigh right, ashleigh, jaine, ash, rio tinto","australian, european, canadian, tasmanian, uk, balinese",,"the university of melbourne, wateraid, earthecho international youth in action, environmental protection authority, shalise s ocean support, university of adelaide, first nations, seed indigenous youth climate network, first nations led, monash university, boston consulting group, flinders university, netflix, sea forest, csiro, the sea forest project, farmers for climate action, wam, university of new south wales, usc, lendlease, coreo, bhp","melbourne, northeast cambodia, united states, united kingdom, port macquarie, australia, hawaii, newtown sydney, coffs harbour, sydney, adelaide, st kilda, victoria, sa, queensland, beaman, triabunna pop approx, hollywood, triabunna, tasmania, nsw, bali, indonesia, queensland s","europe, mid north coast, lake cathie, creek, sea forest s, broken hill, far west nsw, australia, the mornington peninsula, mornington island, the gulf of carpentaria, twin waters, sunshine coast",,"the parley ocean uprise youth summit, the luminosity youth summit",,"Apr 23, 2022"
36,https://www.proquest.com/anznews/docview/2653006890/9231A75FC71C4F75PQ/10?accountid=14649,aerospace engineering,"simon griffiths, griffiths, jehan ratnatunga, ratnatunga, danny alexander, frances whiting, shalise leesfield, shalise leesfield s, leesfield, philippe cousteau, jacques yves cousteau, sylvia earle, elissa lawrence, dominic mcafee, mcafee, perth, leanne edmistone, angel owen, owen, wagamdagamkungarakun man tipasa pearson, tipasa, euleilah  owen, dan adams s, pearl jam, kevin rudd, chris thompson, adams, thompson, zac efron, efron, sam elsom, elsom, carmen da silva, julian beaman, da silva, beaman, the david attenboroughs, steve irwins, adelaide, sydneysider beaman, anika molesworth, molesworth, elissa lawrence nick cooper, nic cooper, melbourne wam, cooper, shanti raka, covid, ashleigh morris, jaine morris, ashleigh right, ashleigh, jaine, ash, rio tinto","australian, european, tasmanian, canadian, uk, balinese",,"wateraid, earthecho international youth in action, environmental protection authority, shalise s ocean support, university of adelaide, first nations, seed indigenous youth climate network, first nations led, monash university, boston consulting group, netflix, sea forest, csiro, the sea forest project, flinders university, farmers for climate action, wam, university of new south wales, usc, coreo, bhp","melbourne, united states, united kingdom, port macquarie, australia, nsw, hawaii, newtown, coffs harbour, sydney, adelaide, butchulla woppaburra, st kilda, hollywood, triabunna, tasmania, elsom, victoria, sa, creek, queensland, beaman, bali, indonesia","mid north coast, lake cathie, broken hill, far west nsw, australia, the mornington peninsula, mornington island, the gulf of carpentaria, twin waters, sunshine coast street",,"the parley ocean uprise youth summit, the luminosity youth summit",,"Apr 23, 2022"
37,https://www.proquest.com/anznews/docview/2653395926/9231A75FC71C4F75PQ/11?accountid=14649,aerospace engineering,"simon griffiths, griffiths, jehan ratnatunga, ratnatunga, danny alexander, frances whiting, shalise leesfield, shalise leesfield s, leesfield, philippe cousteau, jacques yves cousteau, sylvia earle, elissa lawrence, dr dominic mcafee, perth, mcafee, leanne edmistone dan adams, dan adams, pearl jam, kevin rudd, chris thompson, adams, thompson, leanne edmistone angel owen, owen, wagamdagam kungarakun man tipasa pearson, tipasa, euleilah  owen, zac efron, efron, sam elsom, elsom, carmen da silva, julian beaman, da silva, beaman, the david attenboroughs, steve irwins, adelaide, leanne edmistone, anika molesworth, molesworth, elissa lawrence nic cooper, melbourne wam, cooper, shanti raka, covid, ashleigh morris, jaine morris, ashleigh right, ashleigh, jaine, ash, rio tinto","australian, european, tasmanian, canadian, sydneysider, uk, balinese",,"the university of melbourne, wateraid, earthecho international youth in action, environmental protection authority, shalise s ocean support, university of adelaide, monash university, boston consulting group, tesla, first nations, seed indigenous youth climate network, first nations led, netflix, sea forest, csiro, the sea forest project, flinders university, university of queensland, farmers for climate action, wam, university of new south wales, usc, coreo, bhp","melbourne, northeast cambodia, united states, united kingdom, port macquarie, australia, hawaii, newtown sydney, coffs harbour, sydney, adelaide, st kilda, triabunna pop approx, hollywood, queensland, triabunna, tasmania, victoria, sa, creek, beaman, nsw, bali, indonesia, queensland s","europe, mid north coast, lake cathie, south australia, sea forest s, broken hill, far west nsw, australia, the mornington peninsula, mornington island, the gulf of carpentaria, twin waters, sunshine coast",,"the parley ocean uprise youth summit, the luminosity youth summit",,"Apr 23, 2022"
38,https://www.proquest.com/anznews/docview/2649310506/9231A75FC71C4F75PQ/12?accountid=14649,aerospace engineering,"sarah cannard, amelia earhart, cannard, dr cannard, sarah","south australian, australian",,"the zonta club, zonta, nova, space industry centre, navy, army, smartsat crc, arose australian, nasa, adelaide university","victor harbor, willunga, adelaide, woomera","earth, moon",,,,"Apr 13, 2022"
39,https://www.proquest.com/anznews/docview/2667929380/9231A75FC71C4F75PQ/13?accountid=14649,aerospace engineering,"tom cruise, toni westlake, westlake, alex spurzem, sydney, thomas lapid, tom the jacket, alice birrell, donny galella, birrell, galella",australians,the air combat centre,"prada, alpha industries the iconic, myer, galella","bathurst, melbourne, adelaide, queensland, patina",,,,,"May 24, 2022"
40,https://www.proquest.com/anznews/docview/2650311388/9231A75FC71C4F75PQ/14?accountid=14649,aerospace engineering,"selina steele, luke letcher, jo brigden jones, stevens, knox, brigden jones, dani stevens, joe, luke fletcher, emilee cherry, cherry, goat, covid, alice, dan, lily, tim walsh","olympians, olympian, australian",,"the australian institute of sport ais, the administrative appeals tribunal, ais, pe, griffith university","tokyo, australia, brisbane, sydney",eastern suburbs,,"the five ring circus, tokyo games, olympics, the tokyo games, the covid pandemic",,"Apr 16, 2022"
41,https://www.proquest.com/anznews/docview/2669738587/9231A75FC71C4F75PQ/15?accountid=14649,aerospace engineering,"tom cruise, toni westlake, westlake, alex spurzem, sydney, thomas lapid, tom the jacket, alice birrell, donny galella, birrell, galella",australians,the air combat centre,"prada, alpha industries the iconic, myer, galella","bathurst, melbourne, adelaide, queensland, patina",,,,,"May 27, 2022"
42,https://www.proquest.com/anznews/docview/2667932861/9231A75FC71C4F75PQ/16?accountid=14649,aerospace engineering,"tom cruise, toni westlake, westlake, alex spurzem, sydney, thomas lapid, tom the jacket, alice birrell, donny galella, birrell, galella",australians,the air combat centre,"prada, alpha industries the iconic, myer, galella","bathurst, melbourne, adelaide, queensland, patina",,,,,"May 24, 2022"
43,https://www.proquest.com/anznews/docview/2667931737/9231A75FC71C4F75PQ/17?accountid=14649,aerospace engineering,"tom cruise, toni westlake, westlake, alex spurzem, sydney, thomas lapid, tom the jacket, alice birrell, donny galella, birrell, galella",australians,the air combat centre,"prada, alpha industries the iconic, myer, galella","bathurst, melbourne, adelaide, queensland, patina",,,,,"May 24, 2022"
44,https://www.proquest.com/anznews/docview/2667932349/9231A75FC71C4F75PQ/18?accountid=14649,aerospace engineering,"tom cruise, toni westlake, westlake, alex spurzem, sydney, thomas lapid, tom the jacket, alice birrell, donny galella, birrell, galella",australians,the air combat centre,"prada, alpha industries the iconic, myer, galella","bathurst, melbourne, adelaide, queensland, patina",,,,,"May 24, 2022"
45,https://www.proquest.com/anznews/docview/2667932265/9231A75FC71C4F75PQ/19?accountid=14649,aerospace engineering,"tom cruise, toni westlake, westlake, alex spurzem, sydney, thomas lapid, tom the jacket, alice birrell, donny galella, birrell, galella",australians,the air combat centre,"prada, alpha industries the iconic, myer, galella","bathurst, melbourne, adelaide, queensland, patina",,,,,"May 24, 2022"
46,https://www.proquest.com/anznews/docview/2474505441/9231A75FC71C4F75PQ/20?accountid=14649,aerospace engineering,"martin westwell, hieu van le, shreyans sinhal, elias oliver, martina theodorakakos, paras stefanopoulos, ruby liptak, ruby, sam heathershaw, wenge, gina wang, gina, seymour, emily hinze, emily, will, hunter, a governor of sa, sam nitschke, sam, elon musk, filbert christone, filbert, grace bennett, grace, gabrielle connolly, gabrielle, kylie ho, kylie ho s, kylie, adelaide, silas hansch maher, silas, kilkenny jones, gillon mclachlan, constance kilkenny jones, constance, yong zhao","sa, indonesia, indonesian, australian, the ngadjuri people, christian, kaurna, us","boca chica launch site, colonnades shopping","sace, the sace board s, glenelg, bond university, adelaide university s, yale university, cornerstone, adelaide university, loxton high, southern launch, whaler s way, lockheed martin, nasa, loxton news, a rotary interact club, the salvation army, blazeaid, playford, the sa aboriginal secondary training academy, unisa, cardijn college, unley high school, activ, flinders, the university of queensland, st ignatius college, afl, adelaide oval games, essendon football club, ymca, the law and justice committee, adelaide hills council","queensland, mount barker, port wakefield, loxton, texas, adelaide, koonibba, ceduna, melbourne, canada, london, sydney, heathfield, normanville","central africa, jezero crater, mars, whaler s, eyre peninsula, the red planet, adelaide hills, mid north, the adelaide plains",mars,"the covid pandemic, the coronaviruspandemic hit, the adelaide festival",,"Jan 1, 2021"
47,https://www.proquest.com/anznews/docview/2469397419/9231A75FC71C4F75PQ/21?accountid=14649,aerospace engineering,"david goldsmith, will bishop, chirp, bishop, jenniffer hullick, william abbott, abbott, alex priest, priest, myriota, madison o brien, o brien",canadian,"stone chalk, the stone chalk start up hub, lot fourteen innovation precinct, neumann space, lot fourteen","the university of adelaide, chirp, dtex systems, dtex","adelaide, south australia s, south australia, glenunga, canada, sa, california, australia","the silicon valley, silicon valley, south australia s",,,,"Dec 13, 2020"
48,https://www.proquest.com/anznews/docview/2558878130/9231A75FC71C4F75PQ/22?accountid=14649,aerospace engineering,"clarke, rhodes, jess evatt davey, ian, sue, david, greg, sally, dst, xi, steve mortimer, fatima nasrallah, nasrallah",,"giffin park coorparoo, the hallowed lord s cricket ground","brisbane lions, afl, boeing defence australia, defence science and technology dst group, oxford university, woodville district cricket club, deepdene uniting cricket club, cambridge university, the western magpies, magpies, rugby league, the australian medical association, the australian institute of sport australasian college of sport and exercise physicians, uq s, qbi","brisbane, queenslander, melbourne, queensland s, australia, england, adelaide, melrose, london","south australia s, southern flinders",,"queensland state rowing championship men s eight, the nsw state rowing championships",,"Aug 6, 2021"
49,https://www.proquest.com/anznews/docview/2560096498/9231A75FC71C4F75PQ/23?accountid=14649,aerospace engineering,"greg horner, katrina, lily maya, kali, luka, horners, hannaford, louise warner, peter hall, penfolds, greg, dr fritz zweigelt, larry jacobs, marc dobson","english, german","the  mount bera amphitheatre zweigelt pinot noir, amphitheatre shiraz blaufrankisch, hahndorf hill wines","australian navy, the royal australian navy","hungary austria, germany, mount bera, devonshire, klosterneuberg, austria, victoria, uk, holland, australia, newcastle, sydney, astrazeneca","south australia s, adelaide hills, mount bera, the adelaide hills",gruner veltliner,,,"Aug 12, 2021"
