title,links_,publised_date_,company
"Do we need big renewables projects? Soon, our cars will store our power - Sydney Morning Herald",https://news.google.com/__i/rss/rd/articles/CBMieGh0dHBzOi8vd3d3LnNtaC5jb20uYXUvbmF0aW9uYWwvd2UtZG9uLXQtbmVlZC1iaWctcmVuZXdhYmxlcy1wcm9qZWN0cy1vdXItY2Fycy13aWxsLXN0b3JlLW91ci1wb3dlci0yMDIyMTAyMC1wNWJya20uaHRtbNIBAA?oc=5,"Fri, 21 Oct 2022 07:00:00 GMT",renewable energy
Breakingviews - Green hydrogen revolution risks dying of thirst - Reuters,https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2JyZWFraW5ndmlld3MvZ3JlZW4taHlkcm9nZW4tcmV2b2x1dGlvbi1yaXNrcy1keWluZy10aGlyc3QtMjAyMi0xMC0wNS_SAQA?oc=5,"Tue, 04 Oct 2022 07:00:00 GMT",renewable energy
Hong Kong's Gaw Capital targets Australian renewable energy - Nikkei Asia,https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vYXNpYS5uaWtrZWkuY29tL1Nwb3RsaWdodC9EZWFsU3RyZWV0QXNpYS9Ib25nLUtvbmctcy1HYXctQ2FwaXRhbC10YXJnZXRzLUF1c3RyYWxpYW4tcmVuZXdhYmxlLWVuZXJnedIBAA?oc=5,"Thu, 20 Oct 2022 07:00:00 GMT",renewable energy
Australia’s Queensland to Spend $40 Billion to Develop Renewable Supply Chain - Mercom India,https://news.google.com/__i/rss/rd/articles/CBMiVGh0dHBzOi8vbWVyY29taW5kaWEuY29tL3F1ZWVuc2xhbmQtc3BlbmQtYTYyLWJpbGxpb24tZGV2ZWxvcC1yZW5ld2FibGUtc3VwcGx5LWNoYWluL9IBAA?oc=5,"Tue, 04 Oct 2022 07:00:00 GMT",renewable energy
Can supermarkets be Australia's renewable energy secret weapon? - ARENAWIRE,https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vYXJlbmEuZ292LmF1L2Jsb2cvY2FuLXN1cGVybWFya2V0cy1iZS1hdXN0cmFsaWFzLXJlbmV3YWJsZS1lbmVyZ3ktc2VjcmV0LXdlYXBvbi_SAQA?oc=5,"Thu, 13 Oct 2022 09:28:01 GMT",renewable energy
Solar powers up at Australia’s biggest hybrid renewables park - RenewEconomy,https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS9zb2xhci1wb3dlcnMtdXAtYXQtYXVzdHJhbGlhcy1iaWdnZXN0LWh5YnJpZC1yZW5ld2FibGVzLXBhcmsv0gFdaHR0cHM6Ly9yZW5ld2Vjb25vbXkuY29tLmF1L3NvbGFyLXBvd2Vycy11cC1hdC1hdXN0cmFsaWFzLWJpZ2dlc3QtaHlicmlkLXJlbmV3YWJsZXMtcGFyay9hbXAv?oc=5,"Tue, 11 Oct 2022 07:00:00 GMT",renewable energy
There’s only one real way to tackle rising power prices - Adelaide Advertiser,https://news.google.com/__i/rss/rd/articles/CBMiswFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvbmV3cy9vcGluaW9uL3RoZXJlcy1vbmx5LW9uZS1yZWFsLXdheS10by10YWNrbGUtcmlzaW5nLXBvd2VyLXByaWNlcy1pbnZlc3QtaW4tcmVuZXdhYmxlcy1taWNoYWVsLW1jZ3VpcmUvbmV3cy1zdG9yeS83M2IyYTZjMDllZmU0ZWFmMDczMTM3MTI2NDM5YTI1YtIBAA?oc=5,"Mon, 31 Oct 2022 05:03:07 GMT",renewable energy
Iron Flow Batteries To Be Built In Queensland - CleanTechnica,https://news.google.com/__i/rss/rd/articles/CBMiU2h0dHBzOi8vY2xlYW50ZWNobmljYS5jb20vMjAyMi8xMC8yNy9pcm9uLWZsb3ctYmF0dGVyaWVzLXRvLWJlLWJ1aWx0LWluLXF1ZWVuc2xhbmQv0gFXaHR0cHM6Ly9jbGVhbnRlY2huaWNhLmNvbS8yMDIyLzEwLzI3L2lyb24tZmxvdy1iYXR0ZXJpZXMtdG8tYmUtYnVpbHQtaW4tcXVlZW5zbGFuZC9hbXAv?oc=5,"Thu, 27 Oct 2022 06:02:33 GMT",renewable energy
Australia's first solar-powered cryptocurrency-mining center to combat curtailment - pv magazine International,https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3LnB2LW1hZ2F6aW5lLmNvbS8yMDIyLzEwLzA2L2F1c3RyYWxpYXMtZmlyc3Qtc29sYXItcG93ZXJlZC1jcnlwdG9jdXJyZW5jeS1taW5pbmctY2VudGVyLXRvLWNvbWJhdC1jdXJ0YWlsbWVudC_SAQA?oc=5,"Thu, 06 Oct 2022 07:00:00 GMT",renewable energy
WA takes next big step towards Made-in-WA turbine industry ahead of wind energy boom - RenewEconomy,https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS93YS10YWtlcy1uZXh0LWJpZy1zdGVwLXRvd2FyZHMtbWFkZS1pbi13YS10dXJiaW5lLWluZHVzdHJ5LWFoZWFkLW9mLXdpbmQtZW5lcmd5LWJvb20v0gF1aHR0cHM6Ly9yZW5ld2Vjb25vbXkuY29tLmF1L3dhLXRha2VzLW5leHQtYmlnLXN0ZXAtdG93YXJkcy1tYWRlLWluLXdhLXR1cmJpbmUtaW5kdXN0cnktYWhlYWQtb2Ytd2luZC1lbmVyZ3ktYm9vbS9hbXAv?oc=5,"Mon, 31 Oct 2022 02:10:02 GMT",renewable energy
CEFC gets $8.6 billion in new funding to connect renewables to the grid - RenewEconomy,https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS9jZWZjLWdldHMtZmlyc3QtZXZlci1uZXctZnVuZGluZy1hZnRlci1mZWRzLWluamVjdC1hbm90aGVyLTgtNmJuL9IBYWh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS9jZWZjLWdldHMtZmlyc3QtZXZlci1uZXctZnVuZGluZy1hZnRlci1mZWRzLWluamVjdC1hbm90aGVyLTgtNmJuL2FtcC8?oc=5,"Thu, 27 Oct 2022 04:50:38 GMT",renewable energy
Gaw Capital forays into renewable energy in JV with Australia's Maoneng Group - DealStreetAsia,https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LmRlYWxzdHJlZXRhc2lhLmNvbS9zdG9yaWVzL2dhdy1jYXBpdGFsLWZvcmF5cy1pbnRvLXJlbmV3YWJsZS1lbmVyZ3ktaW4tanYtd2l0aC1hdXN0cmFsaWFzLW1hb25lbmctZ3JvdXAtMzEyNTk00gEA?oc=5,"Wed, 19 Oct 2022 11:24:10 GMT",renewable energy
Can we turn green to gold? How the insurance industry can best support the energy market transition - Clyde & Co,https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmNseWRlY28uY29tL2VuL2luc2lnaHRzLzIwMjIvMTAvY2FuLXdlLXR1cm4tZ3JlZW4tdG8tZ29sZC1ob3ctdGhlLWluc3VyYW5jZS1pbmR1c3TSAQA?oc=5,"Thu, 06 Oct 2022 07:00:00 GMT",renewable energy
Australia’s biggest states have set stunning renewable plans. Now we need a national strategy - RenewEconomy,https://news.google.com/__i/rss/rd/articles/CBMieGh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS9hdXN0cmFsaWFzLWJpZ2dlc3Qtc3RhdGVzLWhhdmUtc2V0LXN0dW5uaW5nLXJlbmV3YWJsZS1wbGFucy1ub3ctd2UtbmVlZC1hLW5hdGlvbmFsLXN0cmF0ZWd5L9IBfGh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS9hdXN0cmFsaWFzLWJpZ2dlc3Qtc3RhdGVzLWhhdmUtc2V0LXN0dW5uaW5nLXJlbmV3YWJsZS1wbGFucy1ub3ctd2UtbmVlZC1hLW5hdGlvbmFsLXN0cmF0ZWd5L2FtcC8?oc=5,"Sat, 29 Oct 2022 00:49:22 GMT",renewable energy
CATL's all-scenario energy storage solutions take center stage at All Energy Australia - PR Newswire,https://news.google.com/__i/rss/rd/articles/CBMijQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2NhdGxzLWFsbC1zY2VuYXJpby1lbmVyZ3ktc3RvcmFnZS1zb2x1dGlvbnMtdGFrZS1jZW50ZXItc3RhZ2UtYXQtYWxsLWVuZXJneS1hdXN0cmFsaWEtMzAxNjYwMjY3Lmh0bWzSAQA?oc=5,"Wed, 26 Oct 2022 17:06:00 GMT",renewable energy
South Australia set to be first big grid to run on 100% renewables - Climate Home News,https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vd3d3LmNsaW1hdGVjaGFuZ2VuZXdzLmNvbS8yMDIyLzA5LzE2L3NvdXRoLWF1c3RyYWxpYS1zZXQtdG8tYmVjb21lLWZpcnN0LWJpZy1ncmlkLXRvLXJ1bi1vbi0xMDAtcmVuZXdhYmxlcy_SAQA?oc=5,"Fri, 16 Sep 2022 07:00:00 GMT",renewable energy
"Going for “green gold:” WA mine taps solar, wind and battery to reach 100 pct renewables - RenewEconomy",https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS9nb2luZy1mb3ItZ3JlZW4tZ29sZC13YS1taW5lLXRhcHMtc29sYXItd2luZC1hbmQtYmF0dGVyeS10by1yZWFjaC0xMDAtcGN0LXJlbmV3YWJsZXMv0gF1aHR0cHM6Ly9yZW5ld2Vjb25vbXkuY29tLmF1L2dvaW5nLWZvci1ncmVlbi1nb2xkLXdhLW1pbmUtdGFwcy1zb2xhci13aW5kLWFuZC1iYXR0ZXJ5LXRvLXJlYWNoLTEwMC1wY3QtcmVuZXdhYmxlcy9hbXAv?oc=5,"Mon, 03 Oct 2022 07:00:00 GMT",renewable energy
NSW hits go on Australia’s biggest shift from coal to renewables - RenewEconomy,https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS9uc3ctbGF1bmNoZXMtZmlyc3Qtc3RhZ2Utb2YtYXVzdHJhbGlhcy1iaWdnZXN0LXNoaWZ0LWZyb20tY29hbC10by1yZW5ld2FibGVzL9IBbWh0dHBzOi8vcmVuZXdlY29ub215LmNvbS5hdS9uc3ctbGF1bmNoZXMtZmlyc3Qtc3RhZ2Utb2YtYXVzdHJhbGlhcy1iaWdnZXN0LXNoaWZ0LWZyb20tY29hbC10by1yZW5ld2FibGVzL2FtcC8?oc=5,"Tue, 04 Oct 2022 07:00:00 GMT",renewable energy
Energy policy: What direction now for the NEM? - The Australian Financial Review,https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3LmFmci5jb20vcG9saWN5L2VuZXJneS1hbmQtY2xpbWF0ZS93aGF0LWRpcmVjdGlvbi1ub3ctZm9yLXRoZS1uZW0tMjAyMjEwMjUtcDVic24w0gEA?oc=5,"Tue, 25 Oct 2022 01:09:00 GMT",renewable energy
"Beach Energy, which counts billionaire Kerry Stokes as its largest shareholder, pushes carbon capture plan - The Australian",https://news.google.com/__i/rss/rd/articles/CBMi1wFodHRwczovL3d3dy50aGVhdXN0cmFsaWFuLmNvbS5hdS9idXNpbmVzcy9yZW5ld2FibGUtZW5lcmd5LWVjb25vbXkvYmVhY2gtZW5lcmd5LXdoaWNoLWNvdW50cy1iaWxsaW9uYWlyZS1rZXJyeS1zdG9rZXMtYXMtaXRzLWxhcmdlc3Qtc2hhcmVob2xkZXItcHVzaGVzLWNhcmJvbi1jYXB0dXJlLXBsYW4vbmV3cy1zdG9yeS8yNjU4ZDkyODc5YWMzOWUxY2M4ODA0MzJlNTY2OWJiNtIBAA?oc=5,"Wed, 12 Oct 2022 07:00:00 GMT",renewable energy
[+] Road to Carbon Sobriety Paved with Opportunity - The Urban Developer,https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3LnRoZXVyYmFuZGV2ZWxvcGVyLmNvbS9hcnRpY2xlcy9yZW5ld2FibGUtZW5lcmd5LXNvbGFyLXdpbmQtZmFybXMtcHJvcGVydHktdmFsdWVzLWF1c3RyYWxpYS1wcmTSAQA?oc=5,"Thu, 27 Oct 2022 21:00:00 GMT",renewable energy
"Electricity prices and renewable energy: Chris Bowen, Jeff Dimery, Anna Collyer's road to net zero as coal-powered stations close - The Australian Financial Review",https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3LmFmci5jb20vY29tcGFuaWVzL2VuZXJneS9hdXN0cmFsaWEtcy13aGl0ZS1rbnVja2xlLXJpZGUtdG8tbmV0LXplcm8tMjAyMjEwMTMtcDVicGhv0gEA?oc=5,"Fri, 14 Oct 2022 07:00:00 GMT",renewable energy
Hysata: Alan Finkel joins hydrogen tech hopeful in hiring coup - The Australian Financial Review,https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3LmFmci5jb20vY29tcGFuaWVzL2VuZXJneS9hbGFuLWZpbmtlbC1qb2lucy1oeWRyb2dlbi10ZWNoLWhvcGVmdWwtMjAyMjEwMjktcDVidTEz0gEA?oc=5,"Sun, 30 Oct 2022 23:35:00 GMT",renewable energy
‘Disaster coming’: SA businesses face collapse as bills surge - Adelaide Advertiser,https://news.google.com/__i/rss/rd/articles/CBMiywFodHRwczovL3d3dy5hZGVsYWlkZW5vdy5jb20uYXUvbmV3cy9zb3V0aC1hdXN0cmFsaWEvc21hbGwtYnVzaW5lc3Nlcy1hY3Jvc3Mtc2EtYXQtcmlzay1vZi1jb2xsYXBzaW5nLW92ZXItdGhlLW5leHQtdHdvLXllYXJzLWFzLXllYXJseS1wb3dlci1iaWxscy1yaXNlLWJ5LTI1MDAvbmV3cy1zdG9yeS8wY2Q4MWI5ZDcwYzkxYjFmNzg0MGZiNzE1ZTExMmJkMNIBAA?oc=5,"Thu, 27 Oct 2022 21:11:15 GMT",renewable energy
"A mixed bag - Overview of Energy, Infrastructure and Housing Measures in Federal Budget 2022-2023 - Lexology",https://news.google.com/__i/rss/rd/articles/CBMiU2h0dHBzOi8vd3d3LmxleG9sb2d5LmNvbS9saWJyYXJ5L2RldGFpbC5hc3B4P2c9ZjE2MmU2ZmUtY2YxOS00YTNlLWFiNWUtZjY5MjZjNjIzYjNj0gEA?oc=5,"Wed, 26 Oct 2022 04:57:14 GMT",renewable energy
Report shows South Australia on path to 100% renewables - pv magazine Australia,https://news.google.com/__i/rss/rd/articles/CBMiaGh0dHBzOi8vd3d3LnB2LW1hZ2F6aW5lLWF1c3RyYWxpYS5jb20vMjAyMi8wNy8xNS9yZXBvcnQtc2hvd3Mtc291dGgtYXVzdHJhbGlhLW9uLXBhdGgtdG8tMTAwLXJlbmV3YWJsZXMv0gEA?oc=5,"Fri, 15 Jul 2022 07:00:00 GMT",renewable energy
